Category,Headline,SubHeading
VM i håndbold,"- Det er nogle sko, man ganske enkelt ikke kan fylde ud","Flere unge profiler buldrer ind på landsholdet, og garvede Niklas Landin er uden bekymringer for fremtiden"
VM i håndbold,Karabatic sår tvivl om finaledeltagelse mod Danmark,"Den vel nok største stjerne på det franske hold vil ikke ud med, om han bliver klar til finalen"
VM i håndbold,Ny udvikling: Flere mistænkelige kampe i 2022,"Det europæiske håndboldforbund vil ikke fortælle, hvordan det har behandlet de nyeste advarsler om potentiel matchfixing i europæisk håndbold"
VM i håndbold,"- Det er simpel matematik, siger Hansen",Med en aflevering bagom ryggen serverede Mikkel Hansen bolden for Simon Hald i VM-semifinalen mod Spanien
VM i håndbold,Spanier føler sig overset: - Håndboldverdenen kigger på de danske spillere,Joan Cañellas ville hellere snakke om Perez de Vargas' redning end Niklas Landins
VM i håndbold,Alle Pytlicks fravalg giver nu mening,"Simon Pytlick står søndag i karrierens første VM-finale, og den virkelighed har den unge GOG-spiller svært ved at kapere"
VM i håndbold,Landins ordre kunne høres i hele hallen,"Emil Jakobsen hørte, hvad Niklas Landin råbte. Efterfølgende var han godt tilfreds med, at målvogteren fuldførte planen"
VM i håndbold,Frankrig sikrer stor fordel til Danmark,"Det giver de danske spillere ekstra fritid, at det er Frankrig, og ikke Sverige, der venter i søndagens VM-finale"
VM i håndbold,"- Vores stjernefrø gør det fuldstændig fænomenalt, siger Lauge","Rasmus Lauge har ved VM overladt scenen til yngre holdkammerater, men fik en vigtig rolle mod Spanien"
VM i håndbold,"Hansen var en lettet mand, da Landin reddede Danmark","Mikkel Hansens afbrænder på straffekast kort før tid fik ingen konsekvenser, og det var han meget glad for efter kampen"
VM i håndbold,Landin kom Møllgaard til undsætning under timeout,Henrik Møllgaard spillede den sidste del af kampen med Magnus Landins højre sko
VM i håndbold,Fransk sejr ændrer på finaletidspunktet,Søndagens VM-finale mellem Danmark og Frankrig bliver spillet klokken 21
