Category,Headline,SubHeading,Link
Kort sport,Kevin Magnussen ender som nummer 14 i kvalifikationen til brasiliansk grand prix,Den danske racerkører Kevin Magnussen kunne ikke leve op til kvalifikationsresultatet fra sidste års Formel 1-grand prix i Brasilien.,https://www.dr.dk/sporten/seneste-sport/kevin-magnussen-ender-som-nummer-14-i-kvalifikationen-til-brasiliansk-grand
Kort sport,Randers FC forhandler om et salg af klubben til udenlandske investorer,"Randers FC ender måske på udenlandske hænder. Det fortæller formanden for Randers FC Holding A/S, Svend Lynge Jørgensen, til fodboldmediet Bold.dk.",https://www.dr.dk/sporten/seneste-sport/randers-fc-forhandler-om-et-salg-af-klubben-til-udenlandske-investorer
Ishockey,Nyopdaget dansk regel har fået klub til at investere heftigt i halsbeskyttere,"Det står i dansk ishockeys ligareglement, at halsbeskyttelse er obligatorisk, men det var hverken unionen eller klubber bekendt med.",https://www.dr.dk/sporten/ishockey/nyopdaget-dansk-regel-har-faaet-klub-til-investere-heftigt-i-halsbeskyttere
Tennis,"Rune er med i eksklusiv klub, som har håneretten over verdensetteren",Fredag aften møder Holger Rune Novak Djokovic i kvartfinalen i ATP 1000-turneringen Paris Masters.,https://www.dr.dk/sporten/tennis/rune-er-med-i-eksklusiv-klub-som-har-haaneretten-mod-verdensetteren
Kort sport,Uefa bliver medarrangør af fodboldprisen Ballon d'Or,"Fremadrettet skal Det Europæiske Fodboldforbund, Uefa, være med til at arrangere den store fodboldhæder Ballon d'Or. Det skriver Uefa på sin hjemmeside.",https://www.dr.dk/sporten/seneste-sport/uefa-bliver-medarrangoer-af-fodboldprisen-ballon-dor
Kort sport,Viborg bekræfter forhandlinger om træner-salg,"Han har været med til at etablere Viborg FF som superligaklub, men nu kan cheftræner Jacob Friis være fortid i den midtjyske klub.",https://www.dr.dk/sporten/seneste-sport/viborg-bekraefter-forhandlinger-om-traener-salg
Tennis,"Mens Djokovic kæmper med maven, har Rune fundet et ekstra gear",Fredag aften skal Holger Rune møde verdensetteren Novak Djokovic ved Paris Masters.,https://www.dr.dk/sporten/tennis/mens-djokovic-kaemper-med-maven-har-rune-fundet-et-ekstra-gear
Kort sport,Dansk ungdomsverdensmester nomineret til det olympiske håb,I sommer blev den unge danske cykelrytter Albert Philipsen U19-verdensmester i både linjeløb og mountainbike-disciplinerne.,https://www.dr.dk/sporten/seneste-sport/dansk-ungdomsverdensmester-nomineret-til-det-olympiske-haab
Tennis,Holger Rune cruiser forbi tysker og er klar til nyt tennisbrag mod Djokovic,Holger Rune slog torsdag aften tyske Daniel Altmaier i to sæt ved Paris Masters.,https://www.dr.dk/sporten/tennis/holger-rune-cruiser-forbi-tysker-og-er-klar-til-nyt-tennisbrag-mod-djokovic
Kort sport,"Novak Djokovic var i problemer, men er videre til kvartfinale i Paris","Den serbiske verdensetter Novak Djokovic måtte slide for det, da han torsdag aften spillede sig videre til kvartfinalerne ved ATP 1000-turneringen Paris Masters.",https://www.dr.dk/sporten/seneste-sport/novak-djokovic-var-i-problemer-men-er-klar-til-kvartfinale-i-paris
Kort sport,Brøndby og AGF går videre og skal møde hinanden i pokalkvartfinalen,Torsdag blev de sidste to kvartfinalister i den danske pokalturnering i fodbold fundet.,https://www.dr.dk/sporten/seneste-sport/broendby-og-agf-er-videre-i-pokalturneringen
Kort sport,Håndboldherrerne slår Norge i Mikkel Hansens landsholdscomeback,"Der spilles om intet af sportslig betydning, blot muligheden for at sætte gode fornemmelser i banken, og det gjorde Danmarks håndboldherrer til dels torsdag aften med sejren på 27-24 over Norge ved træningsturneringen Golden League.",https://www.dr.dk/sporten/seneste-sport/haandboldherrerne-slaar-norge-i-mikkel-hansens-landsholdscomeback
Ishockey,Efter tragisk dødsfald og debat om sikkerhed: Ukendt dansk regel er blevet overset i årevis,"Det står i dansk ishockeys ligareglement, at halsbeskyttelse er obligatorisk. Det vidste Unionens administrationschef dog ikke, indtil DR Sporten gjorde ham opmærksom på det.",https://www.dr.dk/sporten/ishockey/efter-tragisk-doedsfald-og-debat-om-sikkerhed-ukendt-dansk-regel-er-blevet-overset
Kort sport,Bo Svensson stopper i Mainz,Den danske fodboldtræner Bo Svensson stopper i den tyske bundesligaklub Mainz.,https://www.dr.dk/sporten/seneste-sport/bo-svensson-stopper-i-mainz
Herrelandsholdet,Dårligt nyt til konkurrenterne: Gidsel spiller 'sit livs håndbold' lige nu,Mathias Gidsel nyder livet og karrieren i Berlin og på det danske landshold.,https://www.dr.dk/sporten/haandbold/herrelandsholdet/daarligt-nyt-til-konkurrenterne-gidsel-spiller-sit-livs-haandbold
Kort sport,Stjernespiller trækker sig fra Paris Masters efter nattekamp,Verdens nummer fire Jannik Sinner har trukket sig fra den igangværende ATP Masters 1000-turnering i Paris.,https://www.dr.dk/sporten/seneste-sport/stjernespiller-traekker-sig-fra-paris-masters-efter-nattekamp
VM håndbold,Landstræneren forklarer bemærkelsesværdigt VM-valg,Jesper Jensen har for første gang i sin tid som dansk landstræner valgt at tage hele tre målvogtere med til en slutrunde.,https://www.dr.dk/sporten/haandbold/vm/landstraeneren-forklarer-bemaerkelsesvaerdigt-vm-valg
VM håndbold,19-årig komet får slutrundedebut: Her er Danmarks VM-trup,"Landstræner Jesper Jensen udtog torsdag de spillere, der skal repræsentere Danmark ved VM på hjemmebane i november og december.",https://www.dr.dk/sporten/haandbold/vm/19-aarig-komet-faar-slutrundedebut-her-er-danmarks-vm-trup
Kvindelandsholdet,MINUT for MINUT Landstræneren sætter navne på den danske VM-trup,"Den danske landstræner Jesper Jensen udtager torsdag de spillere, som skal repræsenterer Danmark ved VM, som spilles til december.",https://www.dr.dk/sporten/haandbold/kvindelandsholdet/live-nu-saetter-landstraeneren-navne-paa-den-danske-vm-trup
Lyt på DR LYD,Kriseramte OB fyrer cheftræner,Superligaklubben OB fyrer cheftræner Andreas Alm efter svingende resultater i denne sæson.,https://www.dr.dk/sporten/fodbold/superliga/kriseramte-ob-fyrer-cheftraener
Kort sport,Tennisstjerne sender præmiepenge til palæstinensere,"I disse dage er verdens bedste kvindelige tennisspillere samlet i Mexico for at afvikle sæsonfinalen, WTA Finals.",https://www.dr.dk/sporten/seneste-sport/tennisstjerne-sender-praemiepenge-til-palaestinensere
Herrelandsholdet,"Minister kalder VM i Saudi-Arabien 'sørgeligt', men Danmarks milliardhandel med oliestaten vokser","Kulturminister Jakob Engel-Schmidt er bekymret over, at autokratier med mange penge på lommen får held til at tiltrække store sportsbegivenheder.",https://www.dr.dk/sporten/fodbold/landsholdet/minister-kalder-vm-i-saudi-arabien-soergeligt-men-danmarks
Tennis,Overlegen Holger Rune får forrygende start på titelforsvar i Paris,Den danske tennisstjerne spillede sig sent onsdag aften videre i Paris Masters.,https://www.dr.dk/sporten/tennis/overlegen-holger-rune-faar-god-start-paa-titelforsvar-i-paris
Kort sport,Newcastle slår sikkert Manchester United på Old Trafford,For anden gang på blot fire dage tabte Manchester United onsdag aften 0-3 på eget græs.,https://www.dr.dk/sporten/seneste-sport/newcastle-slaar-sikkert-manchester-united-paa-old-trafford
Kort sport,Miniput sender Bayern München ud af den tyske pokalturnering,"Bayern München har godt nok vundet de seneste 11 tyske mesterskaber, men de kommer ikke til at vinde pokalturneringen i denne sæson.",https://www.dr.dk/sporten/seneste-sport/miniput-sender-bayern-munchen-ud-af-den-tyske-pokalturnering
Kort sport,2. divisionshold slår Vejle i pokalturneringen,"Tidligere onsdag gik FC Nordsjælland videre i pokalturneringen, og nu er fodboldspillerne fra 2. divisionsklubben AB også videre.",https://www.dr.dk/sporten/seneste-sport/2-divisionshold-sender-vejle-ud-af-pokalturneringen
Kort sport,Esbjerg sender i sikker stil Ikast Håndbold ud af pokalen,"Der var aldrig den store tvivl om kampens udfald, da Team Esbjerg i sikker stil besejrede Ikast Håndbold i kvartfinalen i kvindernes pokalturnering.",https://www.dr.dk/sporten/seneste-sport/esbjerg-sender-i-sikker-stil-ikast-haandbold-ud-af-pokalen
Kort sport,Landsholdsfløj misser VM med brækket fod,Ikast Håndbolds Cecilie Brandt er ude resten af året og misser dermed de danske håndboldkvinders VM-slutrunde på hjemmebane til december.,https://www.dr.dk/sporten/seneste-sport/landsholdsfloej-misser-vm-med-braekket-fod
