Category,Headline,SubHeading,Link
Tennis,Endnu en stor gave til Rune,"Casper Ruud er ude af Paris Masters, og det hjælper Holger Rune mod sæsonfinalerne.",https://sport.tv2.dk/tennis/2023-11-01-endnu-en-stor-gave-til-rune
Tennis,"- Når Djokovic siger, det er det rigtige, er det rigtigt for Holger","Rune-lejren vil ikke rigtig snakke om, hvordan fremtiden ser ud på trænerfronten.",https://sport.tv2.dk/tennis/2023-11-01-naar-djokovic-siger-det-er-det-rigtige-er-det-rigtigt-for-holger
Fodbold,Tallene vidner om krise – det samme gør kommentar fra træneren,"Manchester United er inde i en kedelig periode. Alarmklokkerne bør ringe, mener lokal journalist.",https://sport.tv2.dk/fodbold/2023-11-01-tallene-vidner-om-krise-det-samme-goer-kommentar-fra-traeneren
Fodbold,"- Fuldstændig uforståeligt, siger kulturministeren om FIFA-proces",VM i fodbold i 2034 kommer med overvejende sandsynlighed til at blive afholdt i Saudi-Arabien. ,https://sport.tv2.dk/fodbold/2023-11-01-fuldstaendig-uforstaaeligt-siger-kulturministeren-om-fifa-proces
Fodbold,AC Horsens sælges til amerikansk investor,Carlisle Capital Corporation overtager cirka 55 procent af aktierne i Horsens og tilfører 27 millioner kroner.,https://sport.tv2.dk/fodbold/2023-11-01-ac-horsens-saelges-til-amerikansk-investor
Håndbold,Haugsted forklarer skifte hjem til Danmark,Landsholdsprofilen støder til Team Esbjerg-holdet næste sommer.,https://sport.tv2.dk/haandbold/2023-11-01-haugsted-forklarer-skifte-hjem-til-danmark
Håndbold,Ekspert kalder Haugsteds skifte for utroligt spændende,"Eksperten forventer sig store ting af Line Haugsted, der skifter til Team Esbjerg.",https://sport.tv2.dk/haandbold/2023-11-01-ekspert-kalder-haugsteds-skifte-for-utroligt-spaendende
Håndbold,Haugsted skifter til dansk klub,Hendes kommende træner har kun gode ting at sige.,https://sport.tv2.dk/haandbold/2023-11-01-haugsted-skifter-til-dansk-klub
Tennis,Stjerne ryger ud og giver publikum fingeren,"Daniil Medvedev skal i aktion igen, når sæsonfinalerne finder sted i Torino i november.",https://sport.tv2.dk/tennis/2023-11-01-stjerne-ryger-ud-og-giver-publikum-fingeren
Tennis,Aneke Rune bekræfter: - Helt klart på vores ønskeliste,Rune-lejren pønser på at tilknytte deres egen fysioterapeut. ,https://sport.tv2.dk/tennis/2023-11-01-aneke-rune-bekraefter-helt-klart-paa-vores-oenskeliste
Tennis,Wozniackis rekord fra 2009 er blevet tangeret,Caroline Wozniackis rekord kan snart blive slået af amerikansk kæmpetalent.,https://sport.tv2.dk/tennis/2023-11-01-wozniackis-rekord-fra-2009-er-blevet-tangeret
Håndbold,"- Det er fuldstændig vanvittigt, siger Møllgaard om dansk luksusproblem","Danmark kan stille to hold med mulighed for succes ved en slutrunde, mener Henrik Møllgaard.",https://sport.tv2.dk/haandbold/2023-10-31-det-er-fuldstaendig-vanvittigt-siger-moellgaard-om-dansk-luksusproblem
Fodbold,Norsk fodboldchef langer ud efter FIFA's VM-proces,"Der ser ikke ud til at have været reel konkurrence om VM-slutrunderne i 2030 og 2034, mener Lise Klaveness.",https://sport.tv2.dk/fodbold/2023-11-01-norsk-fodboldchef-langer-ud-efter-fifas-vm-proces
