Category,Headline,SubHeading,Link
Kort sport,AC Horsens sælges til amerikansk investor,Mere end 99 procent af aktionærerne i fodboldklubben AC Horsens stemmer ja til at sælge fodboldklubben til amerikanske Carlisle Capital Corporation for 27 millioner kroner.,https://www.dr.dk/sporten/seneste-sport/ac-horsens-saelges-til-amerikansk-investor
Kort sport,Norsk fodboldchef langer ud efter Fifas VM-proces,"Værtskaberne for VM-slutrunderne i 2030 og 2034 er så godt som på plads, men processen får kritik af den norske fodboldpræsident, Lise Klaveness.",https://www.dr.dk/sporten/seneste-sport/norsk-fodboldchef-langer-ud-efter-fifas-vm-proces
Ishockey,Dødsulykke får dansk landsholdsspiller til at overveje 'træls' halsbeskytter,Det er ikke obligatorisk at spille med halsbeskytter i den danske ishockeyliga.,https://www.dr.dk/sporten/ishockey/doedsulykke-faar-dansk-landsholdsspiller-til-overveje-traels-halsbeskytter
Håndbold,Dansk landsholdsprofil vender hjem,Line Haugsted kommer fra næste sæson til at spille for Team Esbjerg.,https://www.dr.dk/sporten/haandbold/dans-landsholdsprofil-vender-snuden-hjem
Kort sport,Saudi-Arabien afviser ikke at afholde fodbold-VM om sommeren,"Meget tyder på, at VM-slutrunden i fodbold i 2034 skal afholdes i Saudi-Arabien. Landet er det eneste, som har sendt et bud til Det Internationale Fodboldforbund (Fifa) om at afholde slutrunden.",https://www.dr.dk/sporten/seneste-sport/saudi-arabien-afviser-ikke-afholde-fodbold-vm-om-sommeren
Kvindelandsholdet,"Landsholdet efterlyser VAR efter 'kæmpe straffespark', som ikke blev dømt","Josefine Hasbo og landstræner Andrée Jeglertz ser gerne, at man indfører VAR i kvindernes Nations League.",https://www.dr.dk/sporten/fodbold/kvindelandsholdet/landsholdet-efterlyser-var-efter-kaempe-straffespark-som-ikke-blev
Tennis,"Hvis Rune vil nå stor milepæl, kræver det et solidt forsvar af karrierens største triumf","Holger Rune har brug for sejre ved den kommende Paris Masters-turnering, hvis han vil med til sæsonfinalen. ",https://www.dr.dk/sporten/tennis/hvis-rune-vil-naa-stor-milepael-kraever-det-et-solidt-forsvar-af-karrierens-stoerste
Kort sport,Lyon vil spille aflyst rivalopgør på neutral bane efter angreb,"Den franske fodboldklub Lyon mener, at den aflyste udekamp mod Marseille skal spilles på et neutralt stadion.",https://www.dr.dk/sporten/seneste-sport/lyon-vil-spille-aflyst-rivalopgoer-paa-neutral-bane-efter-angreb
Fodbold,'Det er den samme historie om igen': Saudisk VM-plan minder om Qatar,Ifølge DR Sportens kommentator Henrik Liniger er der mange paralleller mellem sidste års VM og det saudiske værtsbud for 2034.,https://www.dr.dk/sporten/fodbold/det-er-den-samme-historie-om-igen-saudisk-vm-plan-minder-om-qatar
Kort sport,Team Danmark-direktør glæder sig over ændret tilgang til børneidrætten,"Danmarks Idrætsforbund lancerede tirsdag en strukturændring, som går ud på, at der skal være et større fokus på udvikling end resultater.",https://www.dr.dk/sporten/seneste-sport/team-danmark-direktoer-glaeder-sig-over-aendret-tilgang-til-boerneidraetten
Pokalturneringen,FC København vinder pokalbrag over midtjyske rivaler,Med en 1-0-sejr over FC Midtjylland er FC København videre i den danske pokalturnering.,https://www.dr.dk/sporten/fodbold/pokalturneringen/fc-koebenhavn-vinder-pokalbrag-over-midtjyske-rivaler
Kvindelandsholdet,KARAKTERER Landstrænerens opfindelser trak gennemsnittet op mod Wales,Det danske kvindelandshold slog tirsdag aften Wales med 2-1 på hjemmebanen i Viborg.,https://www.dr.dk/sporten/fodbold/kvindelandsholdet/karakterer-landstraenerens-opfindelser-trak-gennemsnittet-op-mod
Kvindelandsholdet,Danmark brager videre i Nations League med smal pligtsejr,De danske fodboldkvinder vandt tirsdag 2-1 over Wales i Nations League.,https://www.dr.dk/sporten/fodbold/kvindelandsholdet/danmark-brager-videre-i-nations-league-med-smal-pligtsejr
Lyt på DR LYD,Koreanske fans dræner fanshoppen i Herning for Cho-trøjer,"I FC Midtjylland vælter det ind med koreanske fans, der alle vil møde klubbens nye angriber, Cho-Gue Sung.",https://www.dr.dk/sporten/fodbold/pokalturneringen/koreanske-fans-draener-fanshoppen-i-herning-cho-troejer
