Category,Headline,SubHeading,Link
Kampsport,"Dansker følte sig træt og tynd, men så traf han skelsættende beslutning og blev verdensmester","Danske Mikkel Kailow er verdensmester i sin vægtklasse i ju-jitsu, og nu jagter han også EM-titlen.",https://www.dr.dk/sporten/kampsport/dansker-foelte-sig-traet-og-tynd-men-saa-traf-han-skelsaettende-beslutning-og-blev
Kort sport,Dansk succesduo opnår højeste placering på verdensranglisten,Fem turneringssejre på fire måneder kan nu med stor tydelighed aflæses på verdensranglisten.,https://www.dr.dk/sporten/seneste-sport/dansk-succesduo-opnaar-hoejeste-placering-paa-verdensranglisten
Kvindelandsholdet,Dansk energibombe har grebet chancen: 'Jeg har ventet rigtig længe på den mulighed',Andrée Jeglertz har valgt Frederikke Thøgersen til startopstillingen i alle sine kampe som dansk landstræner.,https://www.dr.dk/sporten/fodbold/kvindelandsholdet/dansk-energibombe-har-grebet-chancen-jeg-har-ventet-rigtig-laenge
Kort sport,Australien dropper VM-bud og baner vejen for Saudi-Arabien i 2034,Australien kommer ikke til at blive vært for VM i fodbold i 2034.,https://www.dr.dk/sporten/seneste-sport/australien-dropper-vm-bud-og-baner-vejen-saudi-arabien-i-2034
Tennis,Verdens nummer ét tordner over sæsonfinalens bane: 'Simpelthen ikke acceptabelt',Flere af verdens bedste tennisspillere kritiserer forholdene ved sæsonfinalen i Mexico og giver WTA skylden.,https://www.dr.dk/sporten/tennis/tennisstjerner-kritiserer-usikre-og-uacceptable-forhold-ved-stor-turnering
Kort sport,Ehlers scorer forgæves i Winnipeg-nederlag,"Den danske ishockeyspiller Nikolaj Ehlers scorede mandag forgæves, da Winnipeg Jets tabte 2-3 på hjemmebane til New York Rangers i den bedste nordamerikanske ishockeyliga, NHL,",https://www.dr.dk/sporten/seneste-sport/ehlers-scorer-forgaeves-i-winnipeg-nederlag
Kort sport,Brøndby undersøger person for racisme på socialt medie,En tilskuer bliver undersøgt af Brøndby IF for at have kommet med en racistisk ytring på et socialt medie i forbindelse med klubbens opgør søndag aften mod FC Nordsjælland.,https://www.dr.dk/sporten/seneste-sport/broendby-undersoeger-person-racisme-paa-socialt-medie
Fodbold,Lionel Messi vinder Ballon d'Or for ottende gang,Det argentinske boldgeni Lionel Messi er igen kåret som verdens bedste fodboldspiller. Aitana Bonmatí vandt hos kvinderne.,https://www.dr.dk/sporten/fodbold/spansk-stjerne-vinder-kvindernes-ballon-dor
Kort sport,Sen scoring sikrer AGF sejren i intenst lokalopgør,Tobias Bech blev dagens mand i skysovs i Aarhus mandag aften.,https://www.dr.dk/sporten/seneste-sport/sen-scoring-sikrer-agf-sejren-i-intenst-lokalopgoer
Kort sport,Engelsk politi efterforsker ishockeyspillers død,"Det engelske politi efterforsker omstændighederne i forbindelse med det voldsomme sammenstød, der i weekenden kostede ishockeyspilleren Adam Johnson livet.",https://www.dr.dk/sporten/seneste-sport/engelsk-politi-efterforsker-ishockeyspillers-doed
