Category,Headline,SubHeading,Link
Ekstremsport,Australsk surfer slår verdensrekord på halsbrækkende bølge,"Laura Enever har ventet siden januar på at få anerkendt rekorden, som hun satte på Hawaii.",https://www.dr.dk/sporten/ekstremsport/australsk-surfer-slaar-verdensrekord-paa-halsbraekkende-boelge
OL Paris 2024,DIF-formand ryster på hovedet af Ruslands beskyldninger: 'Vi er et helt andet sted',Rusland kalder IOC for hyklere ved ikke at sanktionere israelske atleter.,https://www.dr.dk/sporten/ol/rusland-beskylder-ioc-dobbeltmoral-men-den-koeber-dif-formand-ikke
Kort sport,Bjorkstrand matchvinder for Seattle i NHL,"Den danske ishockeyspiller Oliver Bjorkstrand spillede en vigtig rolle, da hans hold, Seattle Kraken, natten til fredag slog Colorado Avalanche med 4-3 i den bedste amerikanske ishockeyliga, NHL.",https://www.dr.dk/sporten/seneste-sport/bjorkstrand-matchvinder-seattle-i-nhl
Kort sport,Bulgarere ånder FCN i nakken efter sejr over tyrkisk storhold,En sejr til Ludogorets over Fenerbahce satte torsdag aften FC Nordsjælland under fornyet pres i Conference League.,https://www.dr.dk/sporten/seneste-sport/bulgarere-aander-fcn-i-nakken-efter-sejr-over-tyrkisk-storhold
Kort sport,Danske ishockeyherrer taber i ny landstræners debut,Svenskeren Mikael Gath led et nederlag i sin første kamp i spidsen for de danske ishockeyherrer.,https://www.dr.dk/sporten/seneste-sport/danske-ishockeyherrer-taber-i-ny-landstraeners-debut
Badminton,Trods uforløste drømme takker Vittinghus af med 'stor stolthed' efter 18 år på topplan,"Hans-Kristian Vittinghus stopper sin internationale karriere, når han har spillet Norwegian International i weekenden.",https://www.dr.dk/sporten/badminton/trods-uforloeste-droemme-takker-vittinghus-af-med-stor-stolthed-efter-18-aar-paa
Kort sport,Liverpool lider første nederlag i Europa efter dramatik,Det blev aldrig Liverpools dag i Sydfrankrig.,https://www.dr.dk/sporten/seneste-sport/liverpool-lider-foerste-nederlag-i-europa-efter-dramatik
Kort sport,FC Nordsjælland smider point mod bundprop i Conference League,FC Nordsjælland måtte torsdag aften nøjes med at tage et lille skridt tættere på drømmen om europæiske kampe efter nytår.,https://www.dr.dk/sporten/seneste-sport/fc-nordsjaelland-smider-point-mod-bundprop-i-conference-league
Tennis,Runes lodtrækning i Torino begejstrer ekspert: 'Det bliver det helt store tag-selv-bord',"Holger Runes kampe ved sæsonfinalen vil byde på tennis på et vanvittigt højt niveau, mener Michael Mortensen.",https://www.dr.dk/sporten/tennis/runes-lodtraekning-i-torino-begejstrer-ekspert-det-bliver-det-helt-store-tag-selv
Kort sport,Regering: Kidnappere har frigivet Liverpool-profils far,"Luis Manuel Diaz, faren til Liverpool-angriberen Luis Diaz, er blevet frigivet af sine kidnappere. Det oplyser regeringen i Colombia ifølge Reuters.",https://www.dr.dk/sporten/seneste-sport/regering-kidnappere-har-frigivet-liverpool-profils-far
Tennis,Holger Rune møder Djokovic i sæsonfinalen: Se lodtrækningen her,Den danske tennisstjerne kan se frem til hård modstand ved ATP Finals i Torino.,https://www.dr.dk/sporten/tennis/holger-rune-moeder-djokovic-i-saesonfinalen-se-lodtraekningen-her
Kort sport,Nicolai Højgaard får kanonstart i Sydafrika,"Golfsæsonen lakker mod enden, og noget kunne tyde på, at Nicolai Højgaard vil slutte af med manér.",https://www.dr.dk/sporten/seneste-sport/nicolai-hoejgaard-faar-kanonstart-i-sydafrika
Kort sport,Udskudt fransk storkamp spilles i Marseille mod Lyons vilje,"Kampen mellem Marseille og Lyon, der i oktober blev udskudt, efter en gruppe hooligans angreb Lyons holdbus med kasteskyts, skal spilles 6. december i Marseille.",https://www.dr.dk/sporten/seneste-sport/udskudt-fransk-storkamp-spilles-i-marseille-mod-lyons-vilje
Ishockey,Landsholdet indfører nyt sikkerhedstiltag efter dødsulykke,"Samtlige danske landsholdsspillere har i denne uge fået tildelt en halsbeskytter, meddeler ishockeyforbundet.",https://www.dr.dk/sporten/ishockey/det-er-ikke-et-internationalt-krav-men-nu-skal-landsholdet-spille-med
Kort sport,Landsholdsbacken Niclas Kirkeløkke skifter til tysk storklub,Håndboldspilleren Niclas Kirkeløkke skifter til Flensburg-Handewitt fra sommeren 2024.,https://www.dr.dk/sporten/seneste-sport/landsholdsbacken-niclas-kirkeloekke-skifter-til-tysk-storklub
Kort sport,Robert Skov melder afbud til EM-kvalifikationskampe,På grund af en skade melder Robert Skov fra til Danmarks kommende EM-kvalifikationskampe i november.,https://www.dr.dk/sporten/seneste-sport/robert-skov-melder-afbud-til-em-kvalifikationskampe
Champions League,'Katastrofe': Manchester United får hård medfart,"Manchester United ramte et nyt lavpunkt, da man tabte 3-4 til FCK i Champions League, lyder det blandt andet. ",https://www.dr.dk/sporten/fodbold/championsleague/united-faar-taesk-i-medierne-efter-nederlag-til-koeben-ha-ha-havn
Champions League,Rasmus Højlund frustreret efter nederlag til FCK,"Den danske landsholdsangriber håber ikke, at det var ham, FCK buhede af mod slutningen af nederlaget på 4-3 i Champions League.",https://www.dr.dk/sporten/fodbold/championsleague/rasmus-hoejlund-frustreret-efter-nederlag-til-fck
Champions League,'En af de største fodboldaftener': FCK-profiler jubler over vild sejr,Rasmus Falk og Lukas Lerager var svært tilfredse med 4-3-sejren over Manchester United onsdag aften.,https://www.dr.dk/sporten/fodbold/championsleague/en-af-de-stoerste-fodboldaftener-fck-profiler-jubler-over-vild-sejr
Champions League,'Det er ubeskriveligt': 17-årige Roony sænkede Manchester United,"Roony Bardghji blev den helt store helt, da FC København slog Manchester United i Champions League.",https://www.dr.dk/sporten/fodbold/championsleague/det-er-utroligt-17-aarige-roony-saenkede-manchester-united-i-parken
Champions League,FCK fuldender vildt comeback og slår Manchester United i Parken,FC København slog onsdag aften Manchester United 4-3 i Champions League.,https://www.dr.dk/sporten/fodbold/championsleague/fck-fuldender-vildt-comeback-og-slaar-manchester-united-i-parken
Kort sport,Bayern München fortsætter magtdemonstration i FCK's gruppe,"Fire kampe, fire sejre.",https://www.dr.dk/sporten/seneste-sport/bayern-munchen-fortsaetter-magtdemonstration-i-fcks-gruppe
Fodbold,Stor dommerfejl blev fatal – eksperter efterlyser forandring,Både David Nielsen og Mads Junker bifalder eksistensen af VAR. Men systemet skal justeres til. ,https://sport.tv2.dk/fodbold/2023-11-10-stor-dommerfejl-blev-fatal-eksperter-efterlyser-forandring
Fodbold,Appelinstans stadfæster FCK-bøder,"FCK lykkedes ikke med appeller af bøder for fansenes bannere, som håner politiet, og må til lommerne.",https://sport.tv2.dk/fodbold/2023-11-10-appelinstans-stadfaester-fck-boeder
