Category,Headline,SubHeading,Link
Kort sport,Chelsea sænker Tottenham i VAR-drama,Otte sejre og to uafgjorte kampe efter ti spillerunder gjorde Tottenham til Premier Leagues eneste ubesejrede hold. Men med to mand i undertal mod Chelsea kunne Ange Postecoglous tropper ikke undgå nederlaget.,https://www.dr.dk/sporten/seneste-sport/chelsea-saenker-tottenham-i-var-drama
Kort sport,Brøndby taber terræn i toppen efter intens deler mod AGF,"Der skulle tre point til, hvis Brøndby skulle holde rivalerne fra FC København indenfor rækkevidde i toppen af Superligaen, da AGF var på besøg på Brøndby Stadion.",https://www.dr.dk/sporten/seneste-sport/broendby-taber-terraen-i-toppen-efter-intens-deler-mod-agf
Kort sport,Blodprop holder dansk NHL-målmand ude på ubestemt tid,NHL-holdet Carolina Hurricanes kommer til at være uden sin danske målvogter Frederik Andersen den kommende tid. Klubbens medicinske stab har opdaget en blodprop hos Andersen.,https://www.dr.dk/sporten/seneste-sport/dansk-nhl-maalmand-er-ude-paa-ubestemt-tid
Kort sport,UEFA lukker dørene til EM-kvalkamp i frygt for uro,"Der er plads til godt 43.000 tilskuere på stadionet Vasil Levski, men når Bulgarien tager imod Ungarn i EM-kvalifikationen 16. november bliver det uden en eneste tilskuere på lægterne.",https://www.dr.dk/sporten/seneste-sport/uefa-lukker-doerene-til-em-kvalkamp-i-frygt-uro
Formel 1,Krisen kradser hos mægtige Mercedes: 'Min værste weekend i 13 år',Det hæderkronede Formel 1-hold Mercedes kan ikke følge med de bedste hold i denne sæson.,https://www.dr.dk/sporten/formel1/krisen-kradser-hos-maegtige-mercedes-min-vaerste-weekend-i-13-aar
Boksning,Frank Madsen fandt trøst i sin sport og blev Grønlands første professionelle bokser,Den 34-årige bokser vandt i weekenden den første professionelle kamp i Grønland. ,https://www.dr.dk/sporten/boksning/frank-madsen-fandt-troest-i-sin-sport-og-blev-groenlands-foerste-professionelle
Kort sport,Holger Rune falder tre placeringer på verdensranglisten,Holger Rune er nu nummer 10 på listen over klodens bedste tennisspillere.,https://www.dr.dk/sporten/seneste-sport/holger-rune-falder-tre-placeringer-paa-verdensranglisten
Kort sport,Rusland appellerer international udelukkelse til sportsdomstol,"Ruslands Olympiske Komité (ROC) føler sig uretfærdigt behandlet af Den Internationale Olympiske Komité (IOC), der i oktober suspenderede førstnævnte som aktivt medlem.",https://www.dr.dk/sporten/seneste-sport/rusland-appellerer-international-udelukkelse-til-sportsdomstol
Lyt på DR LYD,Dansk esportsstjerne er gået fra glemsel til kaos,"Peter 'dupreeh' Rasmussen er tilbage i Counter-Strike-eliten efter at have skrevet under med holdet Heroic, som kæmper med intern uro.",https://www.dr.dk/sporten/esport/dansk-esportsstjerne-er-gaaet-fra-glemsel-til-kaos
Kort sport,Mercedesboss i chok over uacceptabel Formel 1-weekend,Weekendens Formel 1-løb i Brasilien er alt andet end godkendt.,https://www.dr.dk/sporten/seneste-sport/mercedesboss-i-chok-over-uacceptabel-formel-1-weekend
Kort sport,Tennisstjernen Iga Swiatek spiller sig i sæsonfinalen,"Polske Iga Swiatek har natten til mandag besejret verdensranglistens nummer ét, Aryna Sabalenka fra Belarus, i semifinalen ved kvindernes sæsonfinale i Cancun, WTA Finals, med cifrene 6-3, 6-2.",https://www.dr.dk/sporten/seneste-sport/tennisstjernen-iga-swiatek-spiller-sig-i-saesonfinalen
Superliga,Manglende europæiske kampe 'har været en fordel' for ligaens mest formstærke hold,FC Midtjylland er Superligaens mest formstærke mandskab med 13 point i de seneste fem kampe.,https://www.dr.dk/sporten/fodbold/superliga/manglende-europaeiske-kampe-har-vaeret-en-fordel-ligaens-mest-formstaerke
Fodbold,Mareridtskamp for Tottenham koster dyrt i VAR-drama,"Det er første gang i sæsonen, at Ange Postecoglous mandskab taber i Premier League. ",https://sport.tv2.dk/fodbold/2023-11-06-mareridtskamp-for-tottenham-koster-dyrt-i-var-drama
Fodbold,AGF-anfører stikker til Brøndby: Var de ude at hente pølser?,"Patrick Mortensen var overrasket over, hvor meget plads han fik ved sin scoring til 1-1 mod Brøndby.",https://sport.tv2.dk/fodbold/2023-11-06-agf-anfoerer-stikker-til-broendby-var-de-ude-at-hente-poelser
Fodbold,"- Et utroligt vigtigt point, siger AGF-helt",Patrick Mortensen udlignede for AGF i Superliga-kampen mod Brøndby.,https://sport.tv2.dk/fodbold/2023-11-06-et-utroligt-vigtigt-point-siger-agf-helt
Fodbold,Brøndby og AGF deler i intens affære ,Begge mandskaber brændte undervejs store chancer. ,https://sport.tv2.dk/fodbold/2023-11-06-broendby-og-agf-deler-i-intens-affaere
Cykling,Vingegaard næsten mere nervøs for kongeligt taffel end enkeltstart,Den danske cykelrytter Jonas Vingegaard ankom mandag aften til sit første kongelige gallataffel.,https://sport.tv2.dk/cykling/2023-11-06-vingegaard-naesten-mere-nervoes-for-kongeligt-taffel-end-enkeltstart
Håndbold,Dansk landsholdsspiller er tabt for Ikast,Ifølge TV 2 Sports oplysninger skifter den danske landsholdsfløj til sommer til en udenlandsk klub.,https://sport.tv2.dk/haandbold/2023-11-06-dansk-landsholdsspiller-er-tabt-for-ikast
Fodbold,United-stjerne har fået nok: - Stop med at sprede ondsindede rygter,Marcus Rashford melder klart ud.,https://sport.tv2.dk/fodbold/2023-11-06-united-stjerne-har-faaet-nok-stop-med-at-sprede-ondsindede-rygter
Cykling,INEOS-stjerne håber igen at kunne udfordre Vingegaard,"Egan Bernal håber, at han på et tidspunkt kan måle sig med de største igen.",https://sport.tv2.dk/cykling/2023-11-06-ineos-stjerne-haaber-igen-at-kunne-udfordre-vingegaard
Fodbold,UEFA tvunget til at lukke dørene til EM-kvalifikationskamp,"Opgøret i EM-kvalifikationen mellem Bulgarien og Ungarn skal spilles for lukkede døre, da man frygter fan-uro.",https://sport.tv2.dk/fodbold/2023-11-06-uefa-tvunget-til-at-lukke-doerene-til-em-kvalifikationskamp
Ishockey,NHL-dansker ramt af blodprop,"Test har afsløret en blodprop hos danske Frederik Andersen, som må se til fra sidelinjen den kommende tid.",https://sport.tv2.dk/ishockey/2023-11-06-nhl-dansker-ramt-af-blodprop
Sport,"Superstjerne sagde fire ord: - Det er helt vildt at høre, siger dansk anfører","Patrick Mahomes er ikke den eneste NFL-stjerne, der har flirtet med tanken. ",https://sport.tv2.dk/2023-11-05-superstjerne-sagde-fire-ord-det-er-helt-vildt-at-hoere-siger-dansk-anfoerer
Bordtennis,Tyskland har lagt stor plan for at matche Kina,"Det Tyske Bordtennisforbund opfordrer til et samarbejde blandt Europas topspillere, hvis man skal matche Kina.",https://sport.tv2.dk/bordtennis/2023-11-06-tyskland-har-lagt-stor-plan-for-at-matche-kina
Tennis,Rune falder på verdensranglisten,Danskeren falder tre placeringer tilbage på ATP's verdensrangliste ovenpå sidste uges kvartfinale i Paris.,https://sport.tv2.dk/tennis/2023-11-06-rune-falder-paa-verdensranglisten
Håndbold,Topmålmand forlader BSH,Efter fire år i Bjerringbro-Silkeborg stopper den svenske målmand Johan Sjöstrand til sommer. ,https://sport.tv2.dk/haandbold/2023-11-06-topmaalmand-forlader-bsh
Ridning,Medaljehest dør efter panik over lavtflyvende jagerfly,"Den dekorerede dressurhest Horsebo Smarties døde, efter at den i choktilstand bragede gennem flere trælåger.",https://sport.tv2.dk/ridning/2023-11-06-medaljehest-doer-efter-panik-over-lavtflyvende-jagerfly
Håndbold,"Spillerne har selv skabt et monster, der skal tages et opgør med, siger Møllgaard","Landsholdsspilleren Henrik Møllgaard håber, der snart kommer en holdbar løsning på det komplekse problem.",https://sport.tv2.dk/haandbold/2023-11-06-spillerne-har-selv-skabt-et-monster-der-skal-tages-et-opgoer-med-siger-moellgaard
Fodbold,Ekspert kalder 'AC'-udmelding for vanvittig,Andreas Christensen kom ikke på banen i sejren mod Real Sociedad lørdag aften.,https://sport.tv2.dk/fodbold/2023-11-05-ekspert-kalder-ac-udmelding-for-vanvittig
Tennis,"Tidspunktet er det rigtige, mener ekspert om ophørt samarbejde","Det er endnu ikke fastlagt, hvordan Runes trænerteam skal se ud i 2024.",https://sport.tv2.dk/tennis/2023-11-05-tidspunktet-er-det-rigtige-mener-ekspert-om-ophoert-samarbejde
