Category,Headline,SubHeading,Link
Kort sport,Nadia Nadim stopper i amerikansk fodboldklub,Den danske landsholdsangriber Nadia Nadim har spillet sin sidste kamp for sin amerikanske klub Racing Louisville.,https://www.dr.dk/sporten/seneste-sport/nadia-nadim-stopper-i-amerikansk-fodboldklub
Kvindelandsholdet,'Jeg var ikke et godt sted': Landsholdsspiller stolt af karrierestop ,"Nicoline Sørensen glæder sig over sin beslutning. Et halvt år mere på fodboldbanen og hun have ""knækket nakken"" på det, fortæller hun. ",https://www.dr.dk/sporten/fodbold/kvindelandsholdet/jeg-var-ikke-et-godt-sted-landsholdsspiller-stolt-af-karrierestop
Kvindelandsholdet,Landsholdsspilleren Nicoline Sørensen indstiller sin fodboldkarriere,"Den 26-årige Everton-spiller nyder ikke længere at spille fodbold, forklarer hun. ",https://www.dr.dk/sporten/fodbold/kvindelandsholdet/landsholdsspilleren-nicoline-soerensen-indstiller-sin
Champions League,Esbjerg slipper med skrækken i dansk Champions League-duel,"Ikast Håndbold var tæt på at gøre comeback mod Team Esbjerg, som dog holdt stand og vandt med 37-34.",https://www.dr.dk/sporten/haandbold/championsleague/esbjerg-slipper-med-skraekken-i-dansk-champions-league-duel
Badminton,Viktor Axelsen overrasket over triumf i Japan: 'Det er gået bedre end frygtet',"Den danske badmintonstjerne vandt søndag Japan Masters, selvom han har været ude i en længere periode med en fodskade.",https://www.dr.dk/sporten/badminton/viktor-axelsen-overrasket-over-triumf-i-japan-det-er-gaaet-bedre-end-frygtet
Kort sport,Kiel sørger for første nederlag til Gidsel og Berlin,"Füchse Berlin har været nærmest ustandselig i denne sæson, men søndag gik det galt for Mathias Gidsel, Lasse Andersson og Hans Lindberg.",https://www.dr.dk/sporten/seneste-sport/kiel-soerger-foerste-nederlag-til-gidsel-og-berlin
Kort sport,Her er de nominerede til prisen som Årets Mandlige Fodboldspiller,Søndag er de tre nominerede til prisen som Årets Mandlige Fodboldspiller blevet præsenteret.,https://www.dr.dk/sporten/seneste-sport/her-er-de-nominerede-til-prisen-som-aarets-mandlige-fodboldspiller
Kort sport,Brøndby IF misser førstepladsen efter nederlag i rivalopgør,"Brøndby IF's fodboldkvinder tog tidligere på ugen en stor sejr, da holdet slog HB Køge og kravlede op på førstepladsen i den bedste danske fodboldrække.",https://www.dr.dk/sporten/seneste-sport/broendby-if-misser-foerstepladsen-efter-nederlag-i-rivalopgoer
Golf,Nicolai Højgaard vinder stor sæsonfinale efter vild slutspurt,Nicolai Højgaard sikrede søndag en kæmpe triumf ved DP World Tour Championship.,https://www.dr.dk/sporten/golf/nicolai-hoejgaard-vinder-stor-saesonfinale-efter-vild-slutspurt
Kort sport,Kraftige vindstød spolerer endnu et World Cup-skiløb,"Arrangørerne i de tynde luftlag har ikke haft heldet med sig de seneste uger, hvor fire World Cup-løb i alpint skiløb skulle have været afviklet på Matterhorn.",https://www.dr.dk/sporten/seneste-sport/kraftige-vindstoed-spolerer-endnu-et-world-cup-skiloeb
Champions League,"'Speciel' situation venter, når danske tophold tørner sammen for fjerde gang på 19 dage","Søndag mødes Ikast Håndbold og Team Esbjerg for fjerde gang i november, og her skal fjerde gang være lykkens gang for midtjyderne.",https://www.dr.dk/sporten/haandbold/championsleague/speciel-situation-venter-naar-danske-tophold-toerner-sammen-fjerde
