Category,Headline,SubHeading
Tennis,Tauson i tårer – tvunget til at trække sig,Den 20-årige tennisspiller kæmpede med smerter i ryggen undervejs i kampen
Tennis,Ekspert gyser: - Det er en jo en vanvittig lodtrækning,"Holger Rune skal finde tilbage til sit gamle jeg, hvis hans stime på syv nederlag i træk skal brydes ved China Open. "
Tennis,Rune får svær lodtrækning i Kina,Turneringen i Beijing er en opvarmning til den store Masters-turnering i Shanghai i næste uge. 
Tennis,Her indleder Wozniacki den nye sæson,I forberedelserne til grand slam-turneringen Australian Open stiller Caroline Wozniacki til start i Auckland
Tennis,"- Jeg har den gladeste unge mand på banen, siger Runes mor","Holger Rune er landet i Kina og kan træne igennem i yderpositioner, fortæller Aneke Rune før China Open"
Tennis,"Hylder Tauson: - Det er tennis på højt, højt niveau",Tauson fulgte op på sit kollaps i sidste uge med en flot sejr mod en højere rangeret russer
Tennis,Tauson-opvisning i første kamp efter kollaps,Clara Tauson storspillede i andet sæt og er videre til anden runde i Ningbo
Tennis,"- Jeg er starstruck, indrømmer Rune","Holger Rune har tidligere fortalt, at Roger Federer er et stort idol"
Tennis,Godt nyt for Tauson efter uhyggelige billeder,"Clara Tauson har fået en restitutionsplan fra WTA's lægestab, som lige nu forløbet planmæssigt"
Tennis,Wozniacki afviser citater om dopingdømt stjerne,Simona Halep er blevet idømt en fire år lang karantæne. 
Tennis,Tauson er i bedring: - Hun overvåges af læger,"Clara Tauson kollapsede i tredje sæt, men er nu i bedring"
Tennis,Ubehagelige scener – Tauson går i jorden og køres fra banen,Clara Tauson fik det dårligt midt under en kamp i Kina og blev kørt væk efter flere minutters behandling. 
Tennis,Stjerne gør som Rune og trækker sig,Team Europe stiller til start ved Laver Cup uden en eneste top-fem-spiller
Tennis,Som 18-årig tordnede hun ind på den store scene – men hvor står Tauson nu?,Clara Tauson kæmper i øjeblikket for at genfinde sit tårnhøje niveau. 
Tennis,Topspiller tvunget til afbud efter absurd uheld på hotel,French Open-semifinalisten fik sig en ubehagelig på hotelværelset. 
Tennis,Rune-lejren melder ud efter scanning,"Aneke Rune deler godt nyt om sin søn, Holger Rune"
Tennis,Stjerners afbud er godt nyt for Rune,Holger Rune har selv peget på ATP Finals som et af sæsonens største mål
Tennis,"- Jeg kæmpede til det sidste, siger Tauson","Danskeren var suveræn i første sæt, men så blev det tæt i andet"
Tennis,Tauson videre i Kina efter gyser af en tiebreak,Clara Tauson har stadig ikke tabt til tjekkiske Linda Fruhvirtová
Tennis,Holger Rune melder afbud til Laver Cup,Holger Rune har meldt afbud til Laver Cup og er blevet afløst af spanieren Alejandro Davidovich Fokina
Tennis,Skuffende nederlag blev den store øjenåbner for Holger Rune,Davis Cup-opgøret mod brasilianske Thiago Monteiro var det syvende i træk uden sejr for Holger Rune
Tennis,Helt gal med Runes ryg – vil ikke tage flere piller ,"Smertedæmpende medicin har ikke kunnet hjælpe Holger Rune, der ikke kunne spille Davis Cup for Danmark lørdag"
Tennis,Danmark taber til Brasilien i Davis Cup,"Johannes Ingildsen og Christian Sigsgaard tabte, og dermed fører Brasilien med 3-0 i Davis Cup mod Danmark"
Tennis,Ingen Rune i doublen – tvivlsom til mulig single,"Holger Rune bliver ikke en del af den danske double, der skal forsøge at bringe spændingen tilbage i holdkampen mod Brasilien"
Tennis,Rune har målet for resten af sæsonen på plads – både på og uden for banen,Holger Rune har sat sig et mål for den resterende del af sæsonen
Tennis,Danmark under kæmpe pres efter Rune-skuffelse,"Holger Rune tabte fredag sin syvende kamp i træk, og Danmark er bagud 0-2 mod Brasilien i Davis Cup-dyst"
Tennis,"Efter hård periode: - Nu spiller jeg for noget, der er større end mig selv",Holger Rune glæder sig til at spille for Danmark
Tennis,Brasilien frygter en Rune i topform,"Det bliver forhåbentligt ikke til en herlig omgang brasiliansk tennissamba i Hillerød fredag og lørdag, hvor Danmark møder Brasilien i en vigtig kamp"
Tennis,Danmark nærmer sig toppen hurtigere end ventet,"Danmarks Davis Cup-hold er blot en sejr fra at dyste mod verdens bedste, hvis Brasilien besejres i weekenden"
Tennis,"Bekymrende billede tegner sig om Tausons trænersituation, mener ekspert",Danskeren har stoppet samarbejdet med sin træner Carlos Martinez
Tennis,Rune vil have ny person tilknyttet sit team,20-årige Holger Rune begynder så småt at få styr på sit team. 
Tennis,Rune har fået styr på fysikken ,Danskeren har haft det svært på tennisbanen siden Wimbledon
Tennis,Træner forlader Tauson,Samarbejdet ophæves efter fire måneder
Tennis,"- Umuligt at komme tilbage, siger ekspert om dopingdømte Halep",Den dobbelte Grand Slam-vinder står til fire års karantæne fra tennissporten efter brud på dopingregler
Tennis,Halep nægter at acceptere dopingdom,Simona Halep vil have Den Internationale Sportsdomstol til at omstøde dopingdom
Tennis,Halep får fire års karantæne,Tennisstjernen Simona Halep er idømt fire års karantæne for dopingforseelser
Tennis,Holger Rune sætter ord på trænersituation,"Holger Rune er glad for, at Lars Christensen fortsætter som hans træner"
Tennis,"- Det er vanvittigt, siger ekspert om Djokovic-triumf",Serberen er nu én Grand Slam-sejr fra at blive den mest vindende nogensinde
Tennis,Holger Rune har fået styr på trænersituationen,Lars Christensen kommer igen til at være enetræner for Holger Rune
Tennis,Djokovic afslører: Har tænkt på karrierestop,"Der er stadig mere benzin tilbage i tanken for Novak Djokovic, der har sikret sin 24. Grand Slam-titel.
"
Tennis,Djokovic tangerer rekord med sin 24. Grand Slam-titel,"Novak Djokovic vinder US Open-finalen over Daniil Medvedev i tre sæt og er nu oppe på 24 Grand Slam-titler.
"
Tennis,Kæmpe triumf for amerikansk teenager,"Den 19-årige Coco Gauff tabte første sæt klart, men slog alligevel Aryna Sabalenka i US Open-finalen"
