Category,Headline,SubHeading,Link
Kort sport,Tour de France-starten vender hjem til Frankrig,"Efter tre Tour de France-starter uden for Frankrig, vender Grand Depart i 2025 tilbage til hjemlandet.",https://www.dr.dk/sporten/seneste-sport/tour-de-france-starten-vender-hjem-til-frankrig
Herrelandsholdet,Efter et års fodboldmareridt er dansk forsvarsfyrtårn tilbage i landsholdsvarmen,"- Jeg nyder både tillid og har selvtillid, siger Jannik Vestergaard om tilværelsen, der har fået forsvarsspilleren tilbage på det danske fodboldlandshold.",https://www.dr.dk/sporten/fodbold/landsholdet/efter-et-aars-fodboldmareridt-er-dansk-forsvarsfyrtaarn-tilbage-i
Formel 1,Kriseramte Haas-kørere stiller op i forskellige biler: 'Vi har intet at tabe',"Kørerne på Formel 1-holdet Haas får selv lov at bestemme, om de vil køre i en ny eller i en gammel version af bilen i sæsonens to sidste løb.",https://www.dr.dk/sporten/formel1/kriseramte-haas-koerere-stiller-op-i-forskellige-biler-vi-har-intet-tabe
Kort sport,Nu er første dansker udtaget til OL i Paris,Jesper Hansen kan godt begynde at pakke kufferten til sit fjerde OL.,https://www.dr.dk/sporten/seneste-sport/nu-er-foerste-dansker-udtaget-til-ol-i-paris
Tennis,"Græsk stjerne vil 'prøve nye ting af', så han kan få has på Rune",Stefanos Tsitsipas skal tirsdag eftermiddag stå ansigt til ansigt med Holger Rune ved sæsonfinalen. ,https://www.dr.dk/sporten/tennis/graesk-stjerne-vil-proeve-nye-ting-af-saa-han-kan-faa-has-paa-rune
Tennis,Tysker i topform tvinger Alcaraz til at levere utrolig lobbold,Spanske Carlos Alcaraz vandt mandag en opsigtsvækkende duel mod Alexander Zverev.,https://www.dr.dk/sporten/tennis/tysker-i-topform-tvinger-alcaraz-til-levere-utrolig-lobbold
Golf,Dansk golfprofil har svært ved at forklare nedtur efter storspil,"Emily Pedersen spillede forrygende i LPGA-turneringen The Annika, men smed føringen i sidste runde.",https://www.dr.dk/sporten/golf/dansk-golfprofil-har-svaert-ved-forklare-nedtur-efter-storspil
Kort sport,Manchester United forventer Eriksen ude i en måned,"Mandag morgen meldte Manchester United-danskerne Christian Eriksen og Rasmus Højlund begge afbud til Danmarks kommende landskampe som følge af de skader, de pådrog sig i Premier League lørdag.",https://www.dr.dk/sporten/seneste-sport/manchester-united-forventer-eriksen-ude-i-en-maaned
Kvindelandsholdet,"Dansker var med til at stoppe 38 års mesterskabstørke, 'og så gik det jo bare helt amok'",Den danske landsholdsspiller Simone Boye vandt lørdag det svenske fodboldmesterskab med sin klub Hammarby.,https://www.dr.dk/sporten/fodbold/kvindelandsholdet/dansker-var-med-til-stoppe-38-aars-mesterskabstoerke-og-saa-gik
Lyt på DR LYD,"Mark O. Madsens pansrede overflade har 'fået en rids i lakken', men han giver ikke op",Den danske UFC-kæmper tabte natten til søndag dansk tid en stor kamp i Madison Square Garden.,https://www.dr.dk/sporten/kampsport/mark-o-madsens-pansrede-overflade-har-faaet-en-rids-i-lakken-men-han-giver-ikke-op
Lyt på DR LYD,Landsholdsspilleren Emma Friis skifter til storklub,Den danske fløjspiller skal fra den kommende sæson spille for CSM Bucuresti.,https://www.dr.dk/sporten/seneste-sport/landsholdsspilleren-emma-friis-skifter-til-storklub
Kort sport,Flyskræk tvinger Superligaens topscorer til landsholdsafbud,"Superligaens topscorer, Alexander Lind, er rejst hjem fra samlingen med det danske U21-landshold, før den overhovedet er begyndt.",https://www.dr.dk/sporten/seneste-sport/flyskraek-tvinger-superligaens-topscorer-til-landsholdsafbud
Herrelandsholdet,Skader til vigtige landsholdsprofiler tvinger Kasper Hjulmand ud i plan B,Landstræner Kasper Hjulmand sætter ord på tabet af de to danske profiler Christian Eriksen og Rasmus Højlund.,https://www.dr.dk/sporten/fodbold/landsholdet/skader-tvinger-kasper-hjulmand-til-gaa-med-plan-b
Kort sport,Glen Riddersholm færdig i svensk klub,Den danske fodboldtræner Glen Riddersholm er færdig som cheftræner i svenske IFK Norrköping.,https://www.dr.dk/sporten/seneste-sport/glen-riddersholm-faerdig-i-svensk-klub
Herrelandsholdet,Eriksen og Højlund misser afgørende landskampe,Christian Eriksen og Rasmus Højlund misser Danmarks kommende landskampe mod Slovenien og Nordirland.,https://www.dr.dk/sporten/fodbold/landsholdet/eriksen-og-hoejlund-misser-afgoerende-landskampe
