Category,Headline,SubHeading,Link
Kort sport,OB redder uafgjort med sen udligning,Med få minutter tilbage af opgøret mod Lyngby vendte OB et truende nederlag til uafgjort og ét point.,https://www.dr.dk/sporten/seneste-sport/ob-redder-uafgjort-med-sen-udligning
Kort sport,Jess Thorup slår rekord med ubesejret stime i tysk fodbold,Som den første Augsburg-træner nogensinde er Jess Thorups mandskab ubesejret i tre kampe i træk.,https://www.dr.dk/sporten/seneste-sport/jess-thorup-slaar-rekord-med-ubesejret-stime-i-tysk-fodbold
Kort sport,Holger Rune melder afbud til fransk turnering,Holger Rune har ændret sine planer for næste uge.,https://www.dr.dk/sporten/seneste-sport/holger-rune-melder-afbud-til-fransk-turnering
Herrelandsholdet,Eminente Emil Nielsen storspiller i dansk magtdemonstration,"Landstræner Nikolaj Jacobsen nærmest blærede sig med sin brede trup, da Danmarks håndboldherrer lørdag slog Spanien ved Golden League.",https://www.dr.dk/sporten/haandbold/herrelandsholdet/eminente-emil-nielsen-storspiller-i-dansk-magtdemonstration
Kort sport,Anfører sikrer Manchester United sejren i de døende minutter,"Med en sen scoring sørgede Bruno Fernandes for alle tre point til Manchester United, der på udebane slog Fulham 1-0 i lørdagens tidlige Premier League-kamp.",https://www.dr.dk/sporten/seneste-sport/anfoerer-sikrer-manchester-united-sejren-i-de-doeende-minutter
Lyt på DR LYD,Brokkehoveder eller pressede atleter? Tennisstjerner vil boldforskel til livs,Flere af verdens bedste herresinglespillere brokker sig over de skiftende tennisbolde mellem turneringer.,https://www.dr.dk/sporten/tennis/brokkehoveder-eller-pressede-atleter-tennisstjerner-vil-boldforskel-til-livs
Ishockey,"Hallen eksploderede i jubel, da kriseramt bundprop slog ærkerivalen","Frederikshavn White Hawks tog en overraskende og tiltrængt sejr, da holdet fredag aften slog Aalborg Pirates efter straffeslag.",https://www.dr.dk/sporten/ishockey/hallen-eksploderede-i-jubel-da-kriseramt-bundprop-slog-aerkerivalen
Tennis,Rune når stort mål og kvalificerer sig til sæsonfinalen,For første gang i karrieren skal Holger Rune deltage i ATP's sæsonfinale.,https://www.dr.dk/sporten/tennis/rune-naar-stort-maal-og-kvalificerer-sig-til-saesonfinalen
Cykling,Pogacar udfordrer Vingegaard: 'Jeg kunne også godt se ham vinde klassikere',Tadej Pogacar ser et uudnyttet potentiale i Jonas Vingegaard og opfordrer ham til at satse på mere end bare Tour de France.,https://www.dr.dk/sporten/cykling/pogacar-udfordrer-vingegaard-jeg-kunne-ogsaa-godt-se-ham-vinde-klassikere
Tennis,'Den kunne være tippet begge veje': Djokovic anerkender Runes mentale styrke,Den serbiske verdensetter talte varmt om både Holger Rune og danskerens træner efter fredagens kvartfinale i Paris.,https://www.dr.dk/sporten/tennis/den-kunne-vaere-tippet-begge-veje-djokovic-anerkender-runes-mentale-styrke
Tennis,Lars Christensen stopper definitivt som træner for Rune,"Det er endnu ikke fastlagt, hvordan Runes trænerteam skal se ud i 2024.",https://sport.tv2.dk/tennis/2023-11-04-lars-christensen-stopper-definitivt-som-traener-for-rune
Tennis,Rune melder afbud til turnering,Holger Rune går i fodsporene på mange andre store stjerner.,https://sport.tv2.dk/tennis/2023-11-04-rune-melder-afbud-til-turnering
Fodbold,"- Det må ikke ske, siger OB-profil",Lørdag spillede OB den første kamp siden fyringen af Andreas Alm.,https://sport.tv2.dk/fodbold/2023-11-04-det-maa-ikke-ske-siger-ob-profil
Fodbold,Manchester City vinder med tenniscifre,"Jeremy Doku sprudlede for Manchester City og var med i fem scoringer, da holdet hjemme slog Bournemouth 6-1.",https://sport.tv2.dk/fodbold/2023-11-04-manchester-city-vinder-med-tenniscifre
Fodbold,OB afværger faretruende nederlag,"Fynboerne satte en føring over styr, men svarede igen til sidst.",https://sport.tv2.dk/fodbold/2023-11-04-ob-afvaerger-faretruende-nederlag
Fodbold,Nu fører sensation LaLiga,Med en 4-2-sejr på udebane over Osasuna overtog Girona førstepladsen fra Real Madrid.,https://sport.tv2.dk/fodbold/2023-11-04-nu-foerer-sensation-laliga
Håndbold,- Han brændte jo fuldstændig banen af,Bent Nyegaard uddeler karakterer til de danske spillere efter sejren over Spanien i Golden League.,https://sport.tv2.dk/haandbold/2023-11-04-han-braendte-jo-fuldstaendig-banen-af
