Category,Headline,SubHeading,Link
Superliga,Målscorer forklarer tam jubelscene: 'Med min stive krop bliver det ikke meget bedre',FC Midtjyllands André Rømer scorede til 3-0 i midtjydernes 4-1 sejr over Hvidovre søndag aften.,https://www.dr.dk/sporten/fodbold/superliga/maalscorer-forklarer-tam-jubelscene-med-min-stive-krop-bliver-det-ikke
Kort sport,"Kevin Magnussen udgik i første sving, da Verstappen sejrede i Brasilien","Det blev en kort fornøjelse for danske Kevin Magnussen (Haas) i søndagens Formel 1-grandprix i Sao Paolo i Brasilien, der på ny blev vundet af Red Bulls verdensmester, Max Verstappen.",https://www.dr.dk/sporten/seneste-sport/kevin-magnussen-udgik-i-foerste-sving-da-verstappen-sejrede-i-brasilien
Kort sport,FC Midtjylland banker sagesløse Hvidovre,Med en sejr på 4-1 over Hvidovre spillede FC Midtjylland sig op på tredjepladsen søndag aften.,https://www.dr.dk/sporten/seneste-sport/fc-midtjylland-banker-sagesloese-hvidovre
Hestesport,Dekoreret dressurhest død efter panikreaktion over lavtflyvende kampfly,"Den tidligere medaljehest Smarties måtte i går lade livet, efter to F-16 fly fløj henover dens fold.",https://www.dr.dk/sporten/ridning/dekoreret-dressurhest-doed-efter-panikreaktion-paa-lavtflyvende-kampfly
Kort sport,Dobbelt FCK-comeback sikrer sejren over Randers,"Randers viste flot form og var foran to gange, men FCK kæmpede sig tilbage og tog en 4-2-sejr på udebane, da de to mandskaber søndag aften mødtes i en underholdende affære i Superligaens 14. spillerunde.",https://www.dr.dk/sporten/seneste-sport/dobbelt-fck-comeback-sikrer-sejren-over-randers
Superliga,FCK slår Randers efter dobbelt comeback: Se alle weekendens Superliga-mål her,Her får du overblikket og højdepunkter fra weekendens kampe i 3F Superligaen.,https://www.dr.dk/sporten/fodbold/superliga/viborg-henter-tre-point-med-traenervikar-paa-baenken-se-alle-weekendens
Kort sport,Djokovic igen mester i Paris,"Den serbiske tennisverdensetter, Novak Djokovic, er for syvende gang vinder af Paris Masters 1000.",https://www.dr.dk/sporten/seneste-sport/djokovic-endnu-engang-mester-i-paris
Kort sport,Line Kjærsfeldt taber badmintonfinale,Den danske badmintonspiller Line Kjærsfeldt missede søndag chancen for at tage sin første internationale turneringssejr siden 2016.,https://www.dr.dk/sporten/seneste-sport/line-kjaersfeldt-taber-badmintonfinale
Kort sport,Viborg henter tiltrængt sejr mod Silkeborg,Søndag eftermiddag hentede Viborg FF den første sejr i Superligaen i godt en måned.,https://www.dr.dk/sporten/seneste-sport/viborg-henter-tiltraengt-sejr-mod-silkeborg
Kort sport,FC Nordsjælland vinder knebent hjemme over Vejle,Sidste års sølvvindere fra FC Nordsjælland kunne søndag eftermiddag notere sig for en 1-0 sejr på hjemmebane over oprykkerne fra Vejle.,https://www.dr.dk/sporten/seneste-sport/fc-nordsjaelland-vinder-knebent-hjemme-over-vejle
