Category,Headline,SubHeading
Badminton,Gemke vinder på flot danskerdag,En flot dansk dag ved China Open kastede tre sejre af sig i fire kampe. 
Badminton,Ekspert forbløffes: - Den skal vi have i slow,Kodai Naraoka endte med at vinde kampen
Badminton,Flere danskere leverer flotte resultater,Der blev hentet i alt fire danske sejre
Badminton,Nu kan Axelsen slutte overlegen cirkel,"Jan Ø. Jørgensen er fortsat den eneste europæer, der har vundet China Open i herresingle.
"
Badminton,Chef kalder VM-medaljehøst for fantastisk,De danske badmintonspillere overgik Badminton Danmarks forventninger ved VM på hjemmebane
Badminton,Dansk stjerne med klart budskab i Royal Arena,Kim Astrup og Anders Skaarup tabte søndagens VM-finale i Royal Arena
Badminton,Guldvinder sendte undskyldning til tilskuerne i Royal Arena efter buhråb,"TV 2 Sports ekspert Joachim Fischer syntes ikke, at buhråbene var berettigede. "
Badminton,"- Vi er virkelig, virkelig stolte over at være danske",For anden kamp i træk måtte den danske herredouble ud i tre sæt
Badminton,Astrup og Skaarup misser VM-guldet efter dramatisk finale,Kim Astrup og Anders Skaarup Rasmussen måtte se sig slået af et sydkoreansk par i VM-finalen i Royal Arena
Badminton,En VM-titel vil sætte Astrups ord i et helt andet lys,"Den danske herredouble-spiller har før tænkt ""er jeg virkelig så ringe?"""
Badminton,Overrasket ekspert: - De kan alt i øjeblikket,"TV 2 Sports badmintonekspert Tine Baun har tiltro til, at den danske herredouble kan vinde guld"
Badminton,Astrup joker med Skaarup: - Én dårlig ting ved at være i VM-finalen,Der var plads til vittigheder i vinderinterviewet
Badminton,Skuffet Antonsen: - Den er svær at sluge,"Han kan trøste sig med, at han har vundet en bronzemedalje"
Badminton,Antonsen misser VM-finalen,Anders Antonsen taber til japaner i semifinale og er dermed ude af VM i badminton
Badminton,- Jeg er ikke grædefærdig. Jeg er bare fuldstændig i chok,Den dramatiske semifinale blev afgjort i tre sæt
Badminton,Astrup og Skaarup spiller sig sensationelt i VM-finalen,"Kim Astrup og Anders Skaarup Rasmussen fik problemer mod kinesere, men knækkede koden og er i VM-finalen"
Badminton,Dansk stjerne opfordrer publikum til at buhe i VM-semifinale,Der er plads til 10.000 tilskuere under VM i badminton
Badminton,Dansk double sender stikpille til TV 2-ekspert,"Jim Laugesens ord, der er halvandet år gamle, kom pludselig i spil igen"
Badminton,"Danskerne har vidt forskellige udgangspunkter i semifinalerne, vurderer ekspert","Hans-Kristian Vittinghus har stor tiltro til, at Anders Antonsen kan spille sig i finalen, mens herredoublen går ind til kampen som underdogs"
Badminton,Axelsen-bøddel: - Jeg er meget glad,Kampen blev afgjort efter tre sæt
Badminton,"- Det er noget af det flotteste, jeg har set, siger Antonsen",Den danske badmintonstjerne hylder kulissen i Royal Arena
Badminton,Antonsen smadrer konkurrent – stormer i VM-semifinalen,"Danske Antonsen suser videre ved VM efter suveræn kvartfinale, hvor han kvasede japaneren Nishimoto.
"
Badminton,"- Han kunne ikke bære at spille et VM på hjemmebane, siger ekspert","Den danske verdensetter indrømmer, at favoritværdigheden spillede ham et puds"
Badminton,Skuffet Axelsen reagerer på det overraskende VM-exit,"Axelsen takker også de mange danskere, der har støttet undervejs"
Badminton,Axelsen i kæmpe nedtur – er ude af VM,"H.S. Prannoy var på toppen, da han meget overraskende eliminerede Viktor Axelsen ved VM i badminton.
"
Badminton,- Der var den sygeste stemning. Det var fuldstændig latterligt,"Kim Astrup og Anders Skaarup sikrede sig billetten til semifinalen, og glæden var til at tage føle på"
Badminton,Danskere overrasker ved VM og sender Royal Arena i ekstase,Kim Astrup og Anders Skaarup viste strålende takter og sikrede semifinale for næsen af indisk double
Badminton,Dansk double misser VM-medalje,Trods ihærdige forsøg var kineserne for stor en opgave for Alexandra Bøje og Mathias Christiansen ved VM
Badminton,"Det dufter af ren dansk VM-finale i Royal Arena, mener eksperter",De danske herresingler har endnu ikke afgivet et sæt
Badminton,Ekspert udpeger én udfordring inden Axelsens VM-brag,"Indiske H.S. Prannoy er en af få badmintonspillere, der den seneste tid har voldt Viktor Axelsen problemer"
Badminton,Danske tilskuere fremprovokerede vild jubelscene,Alexandra Bøje og Mathias Christiansen spillede sig torsdag i VM-kvartfinalen
Badminton,Få overblikket over de danske resultater her,"Mia Blichfeldt var den eneste, der røg ud"
Badminton,Antonsen sætter perfekt punktum for stor danskerdag,Sejren blev sikret mod malaysiske Lee Zii Jia
Badminton,"- Jeg blev lullet i søvn, siger Axelsen",Den danske herresingle sender også ros til modstanderen
Badminton,Axelsen klar til VM-kvartfinale – vild stime lever,Verdens nummer ni venter på danskeren nu
Badminton,Dansk ekstase: - En af de fedeste badmintonoplevelser ,Med sublim badminton spillede Kim Astrup og Anders Skaarup Rasmussen torsdag sig i VM-kvartfinalen. 
Badminton,Ekspert har Antonsen som underdog i ottendedelsfinale,Badmintonekspert Jim Laugesen ser frem til en gyser mellem Anders Antonsen og Lee Zii Jia
Badminton,Vinderinterview med dansk double måtte afbrydes,Det var svært at holde tårerne tilbage
Badminton,"Dét er Axelsens helt store kvalitet, siger B.S. Christiansen","Den tidligere jægersoldat mener også, at der er ting, der kan blive bedre"
Badminton,Danske stjerner overrasker – klar til VM-kvartfinale,I kvartfinalen venter kinesisk modstand igen
Badminton,Stjernes deroute gør konkurrenterne chokerede og triste,Kento Momota er dumpet langt ned på verdensranglisten
Badminton,"Stjerne brød ud i grin, da han skulle tale om Axelsen",Chou Tien Chen kalder det en drøm at møde danskeren
Badminton,"- Det er vigtigt for hele turneringen, siger ekspert om Axelsens spil",Badmintonekspert Jim Laugesen er glad for særligt ét aspekt af Viktor Axelsens spil
Badminton,"- Det var virkelig nervepirrende, siger Antonsen efter vigtig sejr",Anders Antonsen spillede sig onsdag videre ved VM efter en sejr i to sæt over Ng Tze Yong
Badminton,Blandet danskerdag ved VM slutter godt,"Kim Astrup og Anders Skaarup var blandt dem, der gik videre"
Badminton,Antonsen stryger videre ved VM – nu venter brag,Der venter svær modstand i ottendedelsfinalen
Badminton,Kroppen svigtede Gemke: - En kæmpe skuffelse,"Rasmus Gemkes krop spændte op, og han fik aldrig lov at folde sig ud i kampen mod kinesiske Shi Yuqi. "
Badminton,Blandet danskerdag ved VM slutter godt,"Kim Astrup og Anders Skaarup var blandt dem, der gik videre"
Badminton,"- Årh, dét bliver jeg ked af. Det stikker næsten i mit hjerte","I ungdomsårene var doublespilleren Kim Astrup så god i herresingle, at han flere gange slog Viktor Axelsen"
Badminton,Dansker vil ramme topspiller med sit våben,"Line Christophersen tror, at hun kan drille Tai Tzu Ying"
Badminton,"Danske fans hyldede 65-årig, da hun forlod Royal Arena",Danske fans har fået øjnene op for en mor og en søn fra Israel
Badminton,"- Det er vanvittigt, siger ekspert om Axelsen",Viktor Axelsen var flyvende i tirsdagens VM-kamp i Royal Arena
Badminton,"- Kæmpe forløsning, siger dansk double efter problemer",Alexandra Bøje og Mathias Christiansen er videre ved VM efter en medrivende kamp i anden runde. 
Badminton,Axelsens nervøsitet gjort til skamme: - Han virkede opgivende,Den danske verdensetter er klar til VM-ottendedelsfinalen efter en sikker sejr
Badminton,Uhyggelig Axelsen videre i overlegen stil,Den danske herresingle kvaste sin modstander
Badminton,Blichfeldt runder flot danskerdag af,Mia Blichfeldt blev den fjerde dansker til at forlade banen med en sejr tirsdag
Badminton,Christiansen og Bøje overvinder store problemer,Sejren blev sikret i tre sæt
Badminton,Axelsen har fortid med modstander: - Jeg skal passe min egen butik,Christo Popov fra Frankrig kan være en tricky modstander på flere måder
Badminton,Dansk profil knust efter VM-exit,Mathias Thyrri havde svært ved at holde tårerne tilbage
Badminton,To år efter skandalen og karrierens hårdeste tid har Bøje store VM-drømme,Den danske stjerne fortæller for første gang åbent og ærligt om episoden
Badminton,"VM-spiller forklarer serv, som ingen på banen har set før","Ivan Rusev lavede en stor og meget sjælden servefejl, da han og makkeren Iliyan Stoynov røg ud af VM i København"
Badminton,Axelsen er meget beæret efter sejr,Både Viktor Axelsen og Anders Antonsen er glade for deres start på VM i København. 
Badminton,Dansk double har nået VM-finalen – her er programmet,TV 2 Sport sender et hav af kampe fra VM i badminton
Badminton,Danskerne gør rent bord ved VM,Der var lutter sejre til de danske spillere på førstedagen
Badminton,Antonsen og Axelsen leverer store VM-opvisninger,Ingen af de to herresingler havde problemer i første runde
Badminton,Antonsen vil gerne af med kliché: - Jeg er også et menneske,"Danskeren er ikke meget for at tænke på, hvad der skal ske efter karrieren"
Badminton,Axelsen følte sig dybt provokeret efter bøde: - Det er simpelthen ikke sandt,I en artikelserie i fem afsnit fortæller Viktor Axelsen ærligt om karrieren og privatlivet i forbindelse med VM på hjemmebane i København
Badminton,65-årig stiller op ved VM i Danmark: - Det er ikke nemt,Israel har to spillere med til VM – og de er i familie
Badminton,Ukendt faktor kan få indflydelse på VM,Flere af de danske spillere en enige om vigtigheden af forholdene
Badminton,"- Det var en bombe at få børn, men det var også sindssygt sundt for mig",I en artikelserie i fem afsnit fortæller Viktor Axelsen ærligt om karrieren og privatlivet forud for VM på hjemmebane i København
Badminton,Dansk double har nået VM-finalen – her er programmet,TV 2 Sport sender et hav af kampe fra VM i badminton
Badminton,Antonsen elskede at irritere Axelsen og de store stjerner,Den danske herresingle mindes gamle dage frem mod VM
Badminton,"- Jeg fik lavet nyt pas, da jeg var 15-16 år. Der blev jeg decideret presset",I en artikelserie i fem afsnit fortæller Viktor Axelsen ærligt om karrieren og privatlivet forud for VM på hjemmebane i København
Badminton,"- Useriøst at sige andet end VM-guld, siger Axelsen","Den danske herresingle er ikke i tvivl, når snakken falder på målsætningen"
Badminton,Udenlandske stjerner måber over danske VM-forhold,Flere af verdens bedste roser det danske setup
Badminton,Antonsens møde med Peter Gade ændrede hans tilgang til mad markant,Den danske stjerne har altid elsket mad
Badminton,- Jeg har jo et sindssygt temperament og en stor vrede,I en artikelserie i fem afsnit fortæller Viktor Axelsen ærligt om karrieren og privatlivet forud for VM på hjemmebane i København
Badminton,"- Jeg havde en censor, der rensede mig fuldstændig. Han kørte mig over, og jeg kan huske, hvad jeg sagde bagefter",I en artikelserie i fem afsnit fortæller Viktor Axelsen ærligt om karrieren og privatlivet forud for VM på hjemmebane i København
Badminton,Stjerne melder afbud til VM – godt for Antonsens chancer,Det indonesiske guldhåb kommer ikke til at være en del af VM i badminton i Danmark
Badminton,Forventningsfulde børn fik stor oplevelse med Axelsen,"Arrangementet fandt sted forud for VM, der bliver spillet i Royal Arena fra den 21. august. "
Badminton,"- Sidst jeg var i Royal Arena, var det midt i en moshpit",Danmarks bedste badmintonspillere er i fuld gang med forberedelserne til VM på hjemmebane
Badminton,Antonsen og Axelsen undgår hinanden i VM-lodtrækning,Herunder finder du overblikket over lodtrækningen til alle fem kategorier ved VM i badminton
Badminton,Axelsen kalder sin præstation voldsom: - Men jeg kan blive stærkere,"Viktor Axelsen har vundet de seneste tre turneringer, han har deltaget i"
Badminton,Axelsen i stor triumf kort før VM,Den danske herresingle var overlegen i første sæt
Badminton,Axelsen forventer et show i stor finale,Axelsen møder verdens nummer ni i søndagens finale
Badminton,"- Han gættede bare, siger Axelsen om svær situation",Axelsens modstander døjede med smerter i ryggen og benene. 
Badminton,Suveræn Axelsen klar til stor finale,Den danske stjerne får indonesisk modstand i finalen
Badminton,"- Jeg var helt nede i sækken, erkender Axelsen",29-årige Axelsen skal møde japanske Kodai Naraoka i semifinalen. 
Badminton,Axelsen overvinder store problemer,Kampen blev afgjort i tre sæt
Badminton,Ekspert forarget over stjernes opførsel,"Anders Antonsen virkede både uforstående og irriteret over måden, Naraoka håndterede sejren på. "
Badminton,Antonsen med opløftende melding efter skade,Det sker mindre end en måned før VM
Badminton,Axelsen klar til kvartfinale,Den danske herresingle vandt i to sæt
Badminton,Antonsen fortsætter god stime,Mathias Christiansen og Alexandra Bøje røg til gengæld ud
Badminton,Axelsen åbner Japan Open med sikker sejr ,"Viktor Axelsen spillede sig videre med en sejr i to sæt over Lin Chun-Yi fra Taiwan. 
  "
Badminton,Rørt Antonsen har tvivlet på sig selv som aldrig før ,"Antonsen vandt finalen i tre sæt, og da sejren blev til virkelighed, fik følelserne frit spil. "
Badminton,Antonsen vinder dramatisk finale,"Finalen fik en forfærdelig dansk indledning, men Antonsen kæmpede sig tilbage i opgøret. "
Badminton,Antonsen klar til finale efter stor sejr ,Danskeren fortsatte sit gode spil fra tidligere på ugen og skulle blot bruge to sæt på at spille sig i finalen. 
Badminton,Antonsen i semifinalen efter kæmpe comeback,Danskeren hev sejren i land efter en gyser af et tredje sæt
Badminton,Antonsen leverer lille overraskelse i Sydkorea,Anders Antonsen får japansk modstand i kvartfinalen
Badminton,Astrup og Skaarup vinder ren dansk finale,"Frederik Søgaard og Rasmus Kjær ydede fantastisk modstand, men Kim Astrup og Anders Skaarup strøg til tops"
Badminton,Tildelte olympiske mestre deres største nederlag i et år: - Jeg er virkelig overrasket,"Det kom bag på Anders Skaarup, at han og makkeren, Kim Astrup, besejrede Lee Yang og Wang Chi-Lin så komfortabelt"
Badminton,Herredouble overrasker og når ren danskerfinale,Frederik Søgaard og Rasmus Kjær møder landsmændene Kim Astrup og Anders Skaarup i finale ved Canada Open
Badminton,Axelsen arbejder på amerikansk liga,"Viktor Axelsen vil udbrede badmintonsporten med en nordamerikansk liga.
"
Badminton,Axelsen overvinder forfærdelig start og tager guld,"Christo Popov sendte Viktor Axelsen i tovene, men danskeren hankede op i sig selv og vandt guld"
Badminton,Spanier støder Mia Blichfeldt af European Games-tronen,"Mia Blichfeldt bed udmærket fra sig i perioder, men da sættene skulle afgøres, tabte hun pusten"
