Category,Headline,SubHeading,Link
Fodbold,Tidligere fodboldpræsident får lang karantæne,"Tre års karantæne fra fodbold er konsekvensen af det kys, som Luis Rubiales plantede på munden af VM-spiller.",https://sport.tv2.dk/fodbold/2023-10-30-tidligere-fodboldpraesident-faar-lang-karantaene
Fodbold,"Eksperterne er ikke et sekund i tvivl om, hvem der vinder Ballon d'Or",Messi har syv gange vundet den fornemme pris. Det har ingen anden præsteret. ,https://sport.tv2.dk/fodbold/2023-09-25-eksperterne-er-ikke-et-sekund-i-tvivl-om-hvem-der-vinder-ballon-dor
Fodbold,Brøndby-talent afslører vigtig hjælp fra Wass ,Daniel Wass har spillet en afgørende rolle i Mathias Kvistgaardens udvikling. ,https://sport.tv2.dk/fodbold/2023-10-30-broendby-talent-afsloerer-vigtig-hjaelp-fra-wass
Fodbold,"Højlund begik straffe, men var alligevel blandt Uniteds bedste","Manchester United-træner Erik ten Hag blev mødt af buhråb, da han skiftede danskeren ud.",https://sport.tv2.dk/fodbold/2023-10-30-hoejlund-begik-straffe-men-var-alligevel-blandt-uniteds-bedste
Fodbold,Bellinghams sæsonstart tangerer Real-legender,"Med 13 mål i 13 kampe for Real Madrid har Jude Bellingham fået en start, der tangerer flere klublegender.",https://sport.tv2.dk/fodbold/2023-10-30-bellinghams-saesonstart-tangerer-real-legender
Tennis,Ruud fremhæver Rune i jagten på stort kup,"Norske Casper Ruud skal gerne i finalen i Paris, hvis han vil nå med til sæsonfinalerne.",https://sport.tv2.dk/tennis/2023-10-29-casper-ruud-fremhaever-rune-i-jagten-paa-stort-kup
Tennis,"Han gjorde det samme med mig, siger Djokovic efter billede af Rune og Becker","Novak Djokovic er den eneste, der – ud over Holger Rune – er blevet trænet af Boris Becker.",https://sport.tv2.dk/tennis/2023-10-29-han-gjorde-det-samme-med-mig-siger-djokovic-efter-billede-af-rune-og-becker
Fodbold,Lyon fordømmer angreb på spillerbus,Før mødet med Marseille blev Lyons spillerbus angrebet med sten. Flere busser med Lyon-tilhængere blev også angrebet.,https://sport.tv2.dk/fodbold/2023-10-30-lyon-fordoemmer-angreb-paa-spillerbus
Badminton,Melder afbud i denne uge efter stor triumf,Efter tre uger i træk med store bedrifter skal Kim Astrup og Anders Skaarup hjem og lade batterierne op.,https://sport.tv2.dk/badminton/2023-10-29-melder-afbud-i-denne-uge-efter-stor-triumf
Formel 1,Magnussen slog sine hænder i voldsomt uheld,Danskeren mistede kontrollen over sin Haas-racer i Mexico og hamrede ind i en barriere.,https://sport.tv2.dk/formel-1/2023-10-30-magnussen-slog-sine-haender-i-voldsomt-uheld
Ishockey,Dødsulykke fik Aalborg-spiller til at øge sin beskyttelse,"Aalborg Pirates' Julian Jakobsen kalder Adam Johnsons dødsfald tragisk, og i en ligakamp søndag valgte han selv at bruge yderligere beskyttelse.",https://sport.tv2.dk/ishockey/2023-10-29-doedsulykke-fik-aalborg-spiller-til-at-oege-sin-beskyttelse
Fodbold,Vallys lettet efter drømmemål: - Folk snakkede om krise ,For første gang i seks kampe kom Nicolai Vallys søndag på måltavlen. ,https://sport.tv2.dk/fodbold/2023-10-29-vallys-lettet-efter-droemmemaal-folk-snakkede-om-krise
Fodbold,Kriseramte Ajax har fundet midlertidig træner,"John van 't Schip bliver Ajax-træner i resten af sæsonen, inden han bliver en del af den sportslige ledelse.",https://sport.tv2.dk/fodbold/2023-10-30-kriseramte-ajax-har-fundet-midlertidig-traener
Fodbold,"- Vi kæmpede for Diaz, siger Klopp",Liverpools sejr over Nottingham Forest blev overskygget af kidnapningen af Luis Diaz' forældre.,https://sport.tv2.dk/fodbold/2023-10-30-vi-kaempede-for-diaz-siger-klopp
Formel 1,Magnussen udgår efter voldsomt uheld,"Kevin Magnussen kom hurtigt ud af raceren, men danskeren så rystet ud, da han satte sig om bag barrieren.",https://sport.tv2.dk/formel-1/2023-10-29-magnussen-udgaar-efter-voldsomt-uheld
Fodbold,Godt nyt efter hollandsk spillers kollaps,Hændelsen skete under en kamp i Holland.,https://sport.tv2.dk/fodbold/2023-10-29-godt-nyt-efter-hollandsk-spillers-kollaps
Fodbold,Napoli - AC Milan,Hvad skete der? ,https://sport.tv2.dk/live/fodbold/2023-10-29-napoli-ac-milan
Fodbold,Inter vinder storkamp og stryger til tops,Napoli og AC Milan spillede uafgjort senere samme aften.,https://sport.tv2.dk/fodbold/2023-10-29-inter-vinder-storkamp-og-stryger-til-tops
Badminton,Kommentatorer målløse: - Det er da mærkeligt og provokerende,Efter blot otte dueller af French Open-finalen kom indonesiske Muhammad Fikri i fokus på grund af sin opførsel.,https://sport.tv2.dk/badminton/2023-10-29-kommentatorer-maalloese-det-er-da-maerkeligt-og-provokerende
Fodbold,"United-fans buhede, da Højlund gik fra banen",Holdet har tilmed gang i en historisk ringe sæsonstart.,https://sport.tv2.dk/fodbold/2023-10-29-united-fans-buhede-da-hoejlund-gik-fra-banen
Fodbold,"Mbappés opførsel var latterlig, mener træner","Kylian Mbappé svarede igen på tilskuernes råb mod en PSG-holdkammerat, og det giver Brests træner ikke meget for.",https://sport.tv2.dk/fodbold/2023-10-29-mbappes-opfoersel-var-latterlig-mener-traener
Fodbold,Lyon-bus angrebet – kamp aflyses,"Lyon-bus blev angrebet med sten, og holdets træner, Fabio Grosso, er kommet til skade.",https://sport.tv2.dk/fodbold/2023-10-29-lyon-bus-angrebet-kamp-aflyses
Fodbold,Smuk scoring sikrer Brøndby sejren,"Et vidunderligt mål af Nicolai Vallys i anden halvleg afgjorde topkampen, da Brøndby slog FCN med 2-1.",https://sport.tv2.dk/fodbold/2023-10-29-smuk-scoring-sikrer-broendby-sejren
Fodbold,Henter sæsonens første sejr efter uvirkeligt comeback,"Cagliari hentede sæsonens første sejr i Serie A, da de vendte 0-3 til 4-3 mod Frosinone.",https://sport.tv2.dk/fodbold/2023-10-29-henter-saesonens-foerste-sejr-efter-uvirkeligt-comeback
