Category,Headline,SubHeading,Link
Kort sport,Russisk kunstskøjteløbers dopingsag forventes afgjort i januar,"Det er mere end 21 måneder siden, at Kamila Valieva med sine russiske holdkammerater vandt holdkonkurrencen i kunstskøjteløb ved vinter-OL.",https://www.dr.dk/sporten/seneste-sport/russisk-kunstskoejteloebers-dopingsag-forventes-afgjort-i-januar
Kort sport,Kvindelig fodboldliga i USA sikrer sig ny kæmpeaftale,"Den nye rettighedsaftale for den bedste kvindelige fodboldliga i USA, NWSL, er over 40 gange mere værd end den forrige.",https://www.dr.dk/sporten/seneste-sport/amerikansk-kvindefodbold-sikrer-sig-ny-kaempeaftale
Kort sport,Vittinghus taber i første runde i sidste internationale turnering,37-årige Hans-Kristian Vittinghus' internationale karriere sluttede fredag eftermiddag i Norge.,https://www.dr.dk/sporten/seneste-sport/vittinghus-taber-i-foerste-runde-i-sidste-internationale-turnering
Herrelandsholdet,Kasper Hjulmand efterudtager tre spillere til afgørende kampe,Landstræner Kasper Hjulmand har fredag tilføjet tre spillere til sin trup forud for de sidste EM-kvalifikationskampe.,https://www.dr.dk/sporten/fodbold/landsholdet/kasper-hjulmand-efterudtager-tre-spillere-til-afgoerende-kampe
Kort sport,OB suspenderer vicedirektør,OB har valgt at suspendere vicefodbolddirektør Steffen Nielsen.,https://www.dr.dk/sporten/seneste-sport/ob-suspenderer-vicedirektoer
Kort sport,Højgaard får selskab af Olesen i sydafrikansk topstrid,"En dobbeltbogey på andet hul fredag tog hurtigt Nicolai Højgaard væk fra den delte førsteplads, han havde efter torsdagens første runde ved DP World Tour-turneringen Nedbank Golf Challenge i Sydafrika",https://www.dr.dk/sporten/seneste-sport/hoejgaard-faar-selskab-af-olesen-i-sydafrikansk-topstrid
Fodbold,United-manager venter på danske svar,"Erik ten Hag kan ikke sige, om de to danskere kan blive klar til de kommende ugers landskampe.",https://sport.tv2.dk/fodbold/2023-11-11-united-manager-venter-paa-danske-svar
Tennis,Rune-lejren lægger op til forlængelse med Becker,Boris Becker er lige nu med Holger Rune til sæsonfinalerne i Torino.,https://sport.tv2.dk/tennis/2023-11-11-rune-lejren-laegger-op-til-forlaengelse-med-becker
Live,LaLiga: Real Madrid – Valencia,"Hvad sker der? Real Madrid møder Valencia i en kamp om vigtige LaLiga-point. Girona er stukket af og har lige nu fem point ned til Real på andenpladsen, hvorfor hjemmeholdet er pisket til sejr.",https://sport.tv2.dk/live/fodbold/2023-11-11-laliga-real-madrid-valencia
Fodbold,"Uden udbryderliga dør fodbolden, siger Real-præsident","Florentino Pérez insisterer igen på at få en Super League. Han mener, det handler om fodboldens overlevelse.",https://sport.tv2.dk/fodbold/2023-11-11-uden-udbryderliga-doer-fodbolden-siger-real-praesident
Fodbold,"- Det må have været hårdt for Hjulmand at kigge med, siger Bruun","Det vides endnu ikke, hvor skidt det står til med de danske landsholdsspillere.",https://sport.tv2.dk/fodbold/2023-11-11-det-maa-have-vaeret-haardt-for-hjulmand-at-kigge-med-siger-bruun
Fodbold,Xavi forsvarede sig mod en byge af kritiske spørgsmål,Barcelona skuffede fælt mod Shakhtar Donetsk i Champions League.,https://sport.tv2.dk/fodbold/2023-11-11-xavi-forsvarede-sig-mod-en-byge-af-kritiske-spoergsmaal
Håndbold,Odense kører modstander over i Champions League,"Odense Håndbold vandt med hele 24 scoringer, da holdet besøgte Sävehof i Champions League.",https://sport.tv2.dk/haandbold/2023-11-11-odense-koerer-modstander-over-i-champions-league
Håndbold,Aalborg Håndbold fortsætter overlegen sejrsmarch,"Niklas Landin stod en stor første halvleg, da Aalborg Håndbold dukkede Bjerringbro-Silkeborg.",https://sport.tv2.dk/haandbold/2023-11-11-aalborg-haandbold-fortsaetter-overlegen-sejrsmarch
Tennis,"Når Djokovic møder Rune, er øjnene rettet mod noget kæmpestort",Holger Rune og Novak Djokovic står over for hinanden for femte gang.,https://sport.tv2.dk/tennis/2023-11-10-naar-djokovic-moeder-rune-er-oejnene-rettet-mod-noget-kaempestort
Tennis,Nu sætter Becker ord på samarbejdet med Holger Rune,I et stort interview fortæller Boris Becker om at være træner for Holger Rune.,https://sport.tv2.dk/tennis/2023-11-11-nu-saetter-becker-ord-paa-samarbejdet-med-holger-rune
Tennis,Det siger rivalerne om Holger Rune,"Holger Rune er i gruppe med Jannik Sinner, Stefanos Tsitsipas og Novak Djokovic ved ATP Finals i Torino.",https://sport.tv2.dk/tennis/2023-11-11-det-siger-rivalerne-om-holger-rune
Fodbold,Tottenham og Højbjerg smider alt til sidst,Wolverhampton fik med to mål i overtiden dukket topholdet Tottenham 2-1.,https://sport.tv2.dk/fodbold/2023-11-11-tottenham-og-hoejbjerg-smider-alt-til-sidst
Fodbold,Bellingham misser Valencia-kamp ,Real Madrid-stjernen har fortsat problemer med skulderen.,https://sport.tv2.dk/fodbold/2023-11-11-bellingham-misser-valencia-kamp
Fodbold,Sprudlende Real Madrid holder målfest,For første gang i denne sæson scorede Real Madrid fem mål i en kamp. ,https://sport.tv2.dk/fodbold/2023-11-11-sprudlende-real-madrid-holder-maalfest
Fodbold,Juventus snupper førsteplads efter smal sejr,"Juventus har sat sig på førstepladsen, efter at Torino-klubben tog en usikker sejr mod Cagliari.",https://sport.tv2.dk/fodbold/2023-11-11-juventus-snupper-foersteplads-efter-smal-sejr
