Category,Headline,SubHeading
Fodbold,Neestrup står fast: - Vi er her ikke for at beskytte hinanden,"Elias Jelert eller andre unge spillere skal ikke forvente medlidenhed i FCK, hvis de fejler"
Fodbold,Blodig anfører raser efter vitalt mål,"Dommerens fløjte forblev tavs, da Club Brugge-anfører Hans Vanaken blev ramt i ansigtet af en albue"
Fodbold,Officielt: Nagelsmann ny mand i spidsen for Tyskland,Den tidligere Bayern München-træner Julian Nagelsmann er nået til enighed med fodboldforbundet
Fodbold,"- Det her er smukt, smukt, smukt, siger ekspert",TV 2 Sports fodboldekspert David Nielsen hylder Ajax-spillers reaktion og den efterfølgende reaktion fra fansene
Fodbold,FCN-profil uenig med eksperter: - Det er helt forkert,TV 2s fodboldeksperter David Nielsen og Mads Junker var kritiske over for FC Nordsjællands taktik og spillestil efter nederlaget til Fenerbahce
Fodbold,Sejr gør Klopp historisk,"Alle vil hade mig, siger Jürgen Klopp, hvis Liverpool-managerens Europa-sejr nummer 50 bliver sidste punktum"
Fodbold,FCN-træner tog fat i sin spiller: Den opførsel går ikke,"TV 2 Sports fodboldkommentator Morten Bruun undrede sig, da FCN's Adamo Nagalo blev skiftet ud"
Fodbold,Ekstase efter uvirkeligt comeback: - Det vil blive genfortalt i generationer,"Det var første gang, at et bosnisk hold spillede en kamp i et europæisk gruppespil"
Fodbold,Tidligere AGF-spiller forhindrer nyt færøsk mirakel,"Færøske KÍ Klaksvík kom foran i mødet med Slovan Bratislava, men tabte efter et mål af Aleksandar Cavric"
Fodbold,Vanvittigt drama ender uden vinder ,Danske Anton Gaaei spillede hele kampen for hjemmeholdet. 
Fodbold,Ærgrer sig over manglende mod – ville skifte målmand to gange,David Raya har stået de to seneste kampe for Arsenal. 
Fodbold,FCN-profil efter europæisk nederlag: - Det var for svagt fra alt for mange,"Marcus Ingvartsen ærgrer sig især over indsatsen i første halvleg, der var usikker og præget af fejl"
Fodbold,Liverpool vinder efter comeback,På trods af en svær start sikrede Liverpool sig sejren. 
Fodbold,FCN taber målrigt europæisk opgør ,"Oliver Villadsen scorede for det danske mandskab, men det var ikke nok til at få point. "
Fodbold,Gylfi Sigurdsson står foran Superliga-debut ,Gylfi Sigurdsson er udtaget til Lyngbys kamp mod Vejle fredag aften og kan få debut i Superligaen
Fodbold,"- Han laver en kæmpe individuel fejl. Færdig, slut",Kian Hansens fejl gav Michy Batshuayi muligheden for at fordoble Fenerbahces føring. 
Fodbold,Isaksens bror smidt ud af stadion – afviser historie om utilstedelig opførsel ,Gustav Isaksens gæster til kampen – som inkluderer hans ene bror og flere venner – er havnet i fedtefadet
Fodbold,Tyrkiet hyrer italiensk træner,Vincenzo Montella er ny landstræner for Tyrkiet. Han afløser tyske Stefan Kuntz
Fodbold,FCK-back undskylder: Jeg svigtede holdet,"Elias Jelert kalder kritikken af ham for fair, efter at han onsdag fik rødt kort mod Galatasaray"
Fodbold,Et hav af danskere skal i aktion – få overblikket her,FC Nordsjælland bidrager selvfølgelig med størstedelen. 
Fodbold,FCN har forberedt sig på særligt to ting før brag,Kunsten at frustrere hjemmeholdets spillere og ikke mindst fans er blandt andet på taktikbrættet. 
Fodbold,Grabara har pisset en fanbase af igen – se et udpluk af polakkens svinere her,"Senest er det Galatasarays fanbase, der har været på nakken af den polske FCK-keeper efter et opslag på Instagram"
Fodbold,Historisk dansk mål blev scoret i de forkerte støvler,"For 40 år siden chokerede Danmark med sejren på Wembley, der banede vejen for den første slutrunde i 20 år med dansk deltagelse"
Fodbold,AGF præsenterer overskud på 15 millioner kroner,AGF har præsenteret et overskud på 15 millioner kroner før skat for perioden 1. juli 2022 til 30. juni 2023
Fodbold,Gav skideballe inden historisk kamp: - Handler ikke om jer selv,TV 2 Sport har fulgt FC Nordsjælland i forberedelserne til klubbens første kamp i Conference League
Fodbold,Danmark rykker frem på verdensranglisten,Det danske fodboldlandshold er rykket op som nummer 18 på FIFA's seneste verdensrangliste
Fodbold,"- Han kommer til at lave mange mål, siger United-træner om Højlund","Både Erik Ten Hag og Paul Scholes var glade for det, de så fra Rasmus Højlund. "
Fodbold,Sluger bi og misser europæisk kamp,William Bøvings uheldige holdkammerat må sidde årets første Europa League-kamp over. 
Fodbold,36 timer efter sin vitale redning stod han bag kasseapparatet,For 40 år siden blev Ole Kjær folkehelt med sin redning på Wembley i de døende sekunder og sendte Danmark på overraskende EM-kurs
Fodbold,Marseilles cheftræner siger op efter fan-trusler om krig,Marcelino er færdig i Marseille i kølvandet på en række møder med aggressive tilhængere
Fodbold,FCK-målmand trækker i land efter grov sviner,FC Københavns målmand Kamil Grabara har siden lukket ned for kommentarer på sit Instagram-opslag
Fodbold,United-keeper tager skylden efter drop,Andre Onanas store målmandsdrop var begyndelsen til Manchester Uniteds nedtur mod Bayern München
Fodbold,Messi udskiftet med skade efter blot 37 minutter,Lionel Messis comeback for Inter Miami blev overskygget af en uspecificeret skade. Klubben vandt dog 4-0
Fodbold,"Eriksen med uheldig hovedrolle, da Højlund scorede sit første United-mål",Eriksen og Højlund gjorde sig begge bemærket i CL-braget mod Bayern München – på godt og ondt. 
Fodbold,Irriterede FCK-holdkammerater: - Naivt og dumt af Jelert,Elias Jelert må vente med de trøstende ord fra holdet
Fodbold,Oprydning i spansk fodboldforbund fortsætter,"Andreu Camps er færdig som generalsekretær i det spanske fodboldforbund, og flere kan følge efter"
Fodbold,"Neestrup tordner mod ""respektløse"" tyrkiske medier",FCK-træneren skældte ud på tyrkiske medier for at lykønske med et point. Han savner respekt for dansk fodbold
Fodbold,Alle vil have en del af Superligaens nye stjerneskud ,Alexander Lind er i gang med sit helt store gennembrud
Fodbold,"- Forfærdeligt, siger FCK-profil efter nedtur",FC København smed en tomålsføring på to minutter i det vigtige opgør mod Galatasaray
Fodbold,FCK i stort Champions League-kollaps,Et rødt kort fik store konsekvenser for FCK
