Category,Headline,SubHeading,Link
Champions League,Niklas Landin 'havde aldrig drømt' om at vende tilbage til Kiel på den måde,Den danske målvogter spillede en storkamp mod sine tidligere holdkammerater fra Kiel.,https://www.dr.dk/sporten/haandbold/championsleague/niklas-landin-havde-aldrig-droemt-om-vende-tilbage-til-kiel-paa
Champions League,Landin ejer stadig Kiel: Aalborg tromler forbi tysk gigant,Niklas Landin og Aalborg Håndbold vandt på udebane over tyske Kiel i Champions League.,https://www.dr.dk/sporten/haandbold/championsleague/landin-ejer-stadig-kiel-aalborg-tromler-forbi-tysk-gigant
Golf,Vilde slag ændrer dansk golfspillers liv,Søren Broholt Lind kvalificerede sig onsdag til næste sæsons DP World Tour.,https://www.dr.dk/sporten/golf/vilde-slag-aendrer-dansk-golfspillers-liv
Kort sport,Novak Djokovics sejr er godt nyt for Holger Rune i sæsonfinalerne,"Tennisstjernen Novak Djokovic vandt ganske vist over polske Hubert Hurkacz ved sæsonfinalerne i dag, men virkede ikke helt tilfreds.",https://www.dr.dk/sporten/seneste-sport/novak-djokovics-sejr-er-godt-nyt-holger-rune-i-saesonfinalerne
Kort sport,Herfølges fodboldherrer har fået stjålet mesterskabspokal,Herfølge Boldklubs mesterskabspokal fra 2000 er blevet snuppet fra klubbens pokalskab.,https://www.dr.dk/sporten/seneste-sport/herfoelges-fodboldherrer-har-faaet-stjaalet-mesterskabspokal
Kort sport,Clara Tauson knuser belaruser med to æg i comeback-uge,"Indtil onsdag havde Clara Tauson holdt turneringspause, siden hun i september trak sig fra en kamp mod Vera Zvonareva, men nu er hun tilbage.",https://www.dr.dk/sporten/seneste-sport/clara-tauson-knuser-belaruser-med-aeg-i-comeback-uge
Kort sport,Dansk VM-bagspiller skifter Frankrig ud med Ungarn,Den danske håndboldspiller Kristina Jørgensen skifter Frankrig ud med Ungarn fra den kommende sæson.,https://www.dr.dk/sporten/seneste-sport/dansk-vm-bagspiller-skifter-frankrig-ud-med-ungarn
Tennis,"Rune skal besejre verdens mest formstærke tennisspiller: 'Han slår, som en hest sparker'",Italienske Jannik Sinner har ramt topformen til sæsonfinalen.,https://www.dr.dk/sporten/tennis/rune-skal-besejre-verdens-mest-formstaerke-tennisspiller-hans-slaar-som-en-hest
Kort sport,Den tyske ishockeyliga indfører krav om halsbeskyttelse,"Ulykken i Storbritanien, hvor den amerikanske ishockeyspiller Adam Johnson døde efter at have fået skåret halsen over af en skøjte, har nu fået Tyskland til at agere.",https://www.dr.dk/sporten/seneste-sport/den-tyske-ishockeyliga-indfoerer-krav-om-halsbeskyttelse
Kort sport,Nicolai Højgaard åbner sæsonafslutningen på en førsteplads,"Den danske golfspiller Nicolai Højgaard fortsætter den fine form for sæsonen i DP World Tour Championship, der er sæsonens sidste turnering på den europæiske gofltur.",https://www.dr.dk/sporten/seneste-sport/nicolai-hoejgaard-aabner-saesonafslutningen-paa-en-foersteplads
Cykling,Vingegaard utilfreds med Vuelta-håndtering: 'Det var ikke fedt',"Jonas Vingegaard fortæller til DR Sporten, at han blev stillet i en svær situation under dette års Vuelta a España.",https://www.dr.dk/sporten/cykling/vingegaard-foelte-sig-tvunget-til-koere-mod-sine-holdkammerater-i-vueltaen-det-var
Kort sport,Roeren Sverri Nielsen er udtaget til OL i Paris,Danmarks Olympiske Komité har udtaget den dansk/færøske roer Sverri Nielsen til OL i Paris 2024. Det skriver Danmarks Idrætsforbund på sin hjemmeside.,https://www.dr.dk/sporten/seneste-sport/roeren-sverri-nielsen-er-udtaget-til-ol-i-paris
Kort sport,Viktor Axelsen er videre til kvartfinalen i Japan,"Verdens bedste badmintonspiller, Viktor Axelsen, er torsdag morgen dansk tid gået videre til kvartfinalen ved Japan Masters.",https://www.dr.dk/sporten/seneste-sport/viktor-axelsen-er-videre-til-kvartfinalen-i-japan
Basketball,Dansk landsholdsspiller oplevede ubehagelig træningskultur i USA: 'Jeg var virkelig bange',Den danske landsholdsspiller Julianna Okosun stoppede kortvarigt karrieren efter tre svære år i USA.,https://www.dr.dk/sporten/basketball/dansk-landsholdsspiller-oplevede-ubehagelig-traeningskultur-i-usa-jeg-var
Kort sport,Signe Bruun og Real Madrid får point mod engelske mestre,"Den danske landsholdsangriber Signe Bruun tog onsdag aften hul på Champions League-gruppespillet med sin spanske klub, Real Madrid.",https://www.dr.dk/sporten/seneste-sport/signe-bruun-og-real-madrid-faar-point-mod-engelske-mestre
Kort sport,Bakken Bears tager første sejr i Europa Cup,"Danske Bakken Bears fik onsdag aften sin første sejr i gruppespillet i FIBA Europa Cup i basketball, da man på hjemmebane slog FC Porto 113-99 efter dobbelt overtid.",https://www.dr.dk/sporten/seneste-sport/bakken-bears-tager-foerste-sejr-i-europa-cup
Kort sport,Esbjerg sejrer i Metal Ligaen efter flot comeback,"Det startede knap så godt, da ishockeyholdet Esbjerg Energy onsdag aften tog imod Rødovre Mighty Bulls, men alligevel var det vestjyderne, der endte med en 4-3-sejr efter et flot comeback, hvor udvisninger blev afgørende.",https://www.dr.dk/sporten/seneste-sport/esbjerg-sejrer-i-metal-ligaen-efter-flot-comeback
Kort sport,Brøndby spiller sig til tops med sejr over HB Køge,"Der var topkamp på programmet i kvindernes fodboldliga, da HB Køge onsdag aften tog imod Brøndby IF.",https://www.dr.dk/sporten/seneste-sport/broendby-spiller-sig-til-tops-med-sejr-over-hb-koege
Herrelandsholdet,Celtic-stjerne rykker tættere på dansk landsholdsdebut: 'Det er megasejt at være her',"Matt O'Riley er vokset op i England, men kan meget vel få en rolle, når Danmark spiller de afgørende kampe om EM-billetten. ",https://www.dr.dk/sporten/fodbold/landsholdet/celtic-stjerne-rykker-taettere-paa-dansk-landsholdsdebut-det-er-megasejt
Kort sport,Viborg lider overraskende hjemmenederlag i Kvindeligaen,"Det så fra start ud til, at Viborg HK ville levere den forventede pligtsejr onsdag aften, da holdet hjemme tog imod Ringkøbing, men sådan skulle det ikke gå.",https://www.dr.dk/sporten/seneste-sport/viborg-lider-overraskende-hjemmenederlag-i-kvindeligaen
Tour de France,Vingegaard kommer til at savne nøglehjælpere: 'De er meget svære at erstatte',"Jonas Vingegaard er spændt på, hvad danskerens hold gør for at udfylde hullerne til næste års Tour de France.",https://www.dr.dk/sporten/cykling/tourdefrance/vingegaard-kommer-til-savne-noeglehjaelpere-de-er-meget-svaere-erstatte
Kort sport,Tre danskere sikrer sig adgang til DP World Tour,"I den kommende sæson kan man se frem til tre nye danske bekendtskaber på DP World Tour, der tidligere har været kendt som European Tour.",https://www.dr.dk/sporten/seneste-sport/tre-danskere-sikrer-sig-adgang-til-dp-world-tour
Sejlsport,Danske sejleres 'kollektive nedsmeltning' giver nervøsitet inden OL,"Danmarks bedste sejlere i 49er, 49erFX og Nacra 17-klasserne leverede så dårlige resultater ved EM, at det skaber nervøsitet hos både sejlere og forbund frem mod OL.",https://www.dr.dk/sporten/sejlsport/danske-sejleres-kollektive-nedsmeltning-giver-nervoesitet-inden-ol
Kort sport,Alcaraz vinder uden besvær over russer ved sæsonfinalen,Den spanske tennisstjerne Carlos Alcaraz gav onsdag sig selv bedre muligheder for at nå semifinalerne i ATP Finals.,https://www.dr.dk/sporten/seneste-sport/alcaraz-vinder-uden-besvaer-over-russer-ved-saesonfinalen
Kort sport,Jonas Vingegaards stjernekollega satser på Giro d'Italia,"I den kommende sæson går Wout Van Aert efter at vinde det store italienske cykelløb, Giro d'Italia.",https://www.dr.dk/sporten/seneste-sport/jonas-vingegaards-stjernekollega-satser-paa-giro-ditalia
Sejlsport,Dansk windsurfer misser VM-titel efter diskvalifikation for ulovligt sejl,"Den danske windsurfer Johan Søe lå til at vinde den samlede World Tour, men på grund af et ulovligt sejl blev han diskvalificeret i årets sidste konkurrence.",https://www.dr.dk/sporten/sejlsport/dansk-windsurfer-misser-vm-titel-efter-diskvalifikation-ulovligt-sejl
