Category,Headline,SubHeading
Formel 1,Magnussen utilfreds efter endnu et sløjt resultat ,"En placeringen som nummer 15 i Belgien var utilfredsstillende for Kevin Magnussen, der ser frem til en pause"
Formel 1,Magnussen kigger langt efter point i Verstappens sejr,"Max Verstappen viste endnu en gang, at han er Formel 1's hurtigste kører. Kevin Magnussen endte uden point"
Formel 1,Vesti skal køre Formel 1-træning med Hamilton,I slutningen af oktober skal den 21-årige danske racerkører Frederik Vesti køre en Mercedes til en Formel 1-træning
Formel 1,Magnussen slår teamkammerat i sprintløb på Spa-banen,Kevin Magnussen blev nummer 14 i sprintløb på Spa-banen med Nico Hülkenberg bag sig. Max Verstappen vandt
Formel 1,Magnussen straffes efter kvalifikationen,"Danskeren kom videre til anden kvalifikationsrunde, men blev senere idømt en straf på tre placeringer. "
Formel 1,Skuffet Kevin Magnussen savner fart og opgraderinger,Efter en skuffende placering som nummer 17 i Ungarn efterlyste Kevin Magnussen opgraderinger til Haas-bilen
Formel 1,Magnussen skuffer i Verstappens opvisning,Danske Kevin Magnussen endte i den tunge ende af Formel 1-feltet i Ungarn. Max Verstappen vandt grandprixet
Formel 1,Magnussen skal starte næstsidst efter skidt kvalifikation,"Den danske Haas-kører kunne slet ikke få fart i raceren på Hungaroring, hvor Lewis Hamilton tog pole position"
Formel 1,Forundret Magnussen søger forklaring,"Haas-bilen gør det godt i kvalifikationerne, men er udfordret, når der er VM-point på spil, mener danskeren"
Formel 1,Ricciardo gør comeback med øjeblikkelig virkning,"Nyck de Vries har ikke leveret tilfredsstillende, og derfor får Daniel Ricciardo en ny chance i Formel 1"
Formel 1,Magnussens bil brændte: - Tabte ikke det store,"Kevin Magnussens bil gik i brand på Silverstone, og selvom det lyder slemt nok i sig selv, så manglede bilen også fart i Storbritanniens grandprix"
Formel 1,Magnussens bil i flammer,For anden dag i træk var der bøvl med Haas-raceren
Formel 1,Magnussen går i stå – skal starte sidst ,Med få minutter tilbage af Q1 gik Kevin Magnussens Haas-racer i stå på Silverstone-banen
Formel 1,Vesti vinder Formel 2-sprintløb fra pole position,"Racertalentet Frederik Vesti udbyggede lørdag sin føring i Formel 2-stillingen, da han vandt sprintløb"
Formel 1,Magnussen glæder sig til møde med euforiske briter,"I weekenden er der Formel 1-grandprix på legendariske Silverstone, hvor Kevin Magnussen søger genoprejsning"
Formel 1,Magnussen vil bare væk efter sløj weekend,"Haas-teamet havde et miserabelt grandprix i Østrig, hvor Kevin Magnussen sluttede som nummer 19, mens teamkollega Nico Hülkenberg udgik"
