Category,Headline,SubHeading
GO',Billede fra håndboldkamp fik Bendtner til at ændre sin livsstil markant,"Pludselig gik det op for Bendtner, at han havde taget 20 kilo på"
Fodbold,Lønloft kan være på vej i Premier League ,"Der kan være et lønloft på vej i Premier League, afslører Crystal Palace-ejer Steve Parish"
Fodbold,Hazard begrunder karrierestop,Eden Hazard havde 'nogle svære år' i Real Madrid frem til sit karrierestop. 
Fodbold,Landstræner forklarer overvejelser omkring Nadim-udtagelse,Danmark kæmper for en billet til det kommende OL. 
Fodbold,Sådan booker Danmark EM-billet,"Det skal virkelig gå galt, hvis Danmark ikke skal til EM i Tyskland. "
Fodbold,"Hvem var det, der vandt i dag?","Is på. Kasper Hjulmand skal selvfølgelig ikke fyres. Vi må acceptere blamagen som et uvelkomment faux pas og huske, at Danmark stadig har kurs mod EM"
Fodbold,Efter total forvirring: Hjulmand fik forkert information om Højlund,"Rasmus Højlund kom i fokus af andre årsager end det flotte føringsmål, han scorede mod San Marino"
Fodbold,UEFA forbyder internationale kampe i Israel,Af sikkerhedsgrunde tillader Uefa foreløbig ingen kampe i europæiske turneringer på israelsk grund
Fodbold,Afbrudt EM-kvalkamp skal ikke færdigspilles,Gerningsmanden blev efterfølgende dræbt af politiet. 
Fodbold,"Cornelius har ændret mindset efter ""rigtig, rigtig skidt forløb"" ",Den tidligere landsholdsangriber har fjernet foden fra speederen og forventer først at være på 100 procent i det nye år
Fodbold,Nadim er tilbage på landsholdet,Landstræner Andrée Jeglertz har udtaget Nadia Nadim til Nations League-kampene mod Island og Wales
Fodbold,FCK skal fremover leje sig ind i Parken,Den danske mesterklub bliver fremover lejer af hjemmebanen i det nyoprettede selskab Parken Ejendomme
Fodbold,Liga afslører Messis gigantiske løn,"Inter Miami har gjort Lionel Messi til den bedst betalte i Major League Soccer, viser opgørelse fra ligaen"
Fodbold,Én bestemt landskamp får Kjær aldrig ud af systemet,"Simon Kjær udpeger sine seks mest mindeværdige landskampe i anledning af, at har tangeret landskampsrekorden"
Fodbold,Neymar ramt af korsbåndsskade ,"Neymar har revet det forreste korsbånd og menisken over, og skal nu opereres, oplyser Al-Hilal"
Fodbold,Spanien udtager Hermoso for første gang siden kyssesag,For første gang siden det mest omtalte kys i sportens verden i år er Jennifer Hermoso tilbage på landsholdet
Fodbold,Højlund med opråb på Instagram,San Marino-spillernes opførsel behagede ikke Manchester United-angriberen. 
Fodbold,"Landsholdet droppede ritual: - Folk skal vide, hvor usædvanligt det er",Danskerne følte det ikke passende med en decideret fejring af sejren over San Marino i omklædningsrummet
Fodbold,Schmeichel siger undskyld,"En bolddreng blev overfuset af Kasper Schmeichel, da han i kampens hede brugte hårde ord i forbindelse med kampen tirsdag aften"
Fodbold,San Marino er skuffet over Højlund,San Marinos spillere havde forventet en bedre opførsel fra Rasmus Højlund. 
Fodbold,Barca-præsident sigtet for bestikkelse,Som en del af efterforskningen af bestikkelse af spanske fodbolddommere er Joan Laporta i søgelyset
Fodbold,Hjulmand forstår Højlund: - Det her var vanvittigt,"Kasper Hjulmand forstod godt, hvorfor Rasmus Højlund ikke ville sige tak for kampen. "
Fodbold,Schmeichel overfusede bolddreng,"Kasper Schmeichel sagde ikke noget, han ikke har sagt før. "
Fodbold,"Erkender problemer: - Skal vi bare stoppe, eller hvad skal vi? ","Christian Nørgaard erkender, at landsholdet har det svært i øjeblikket. "
Fodbold,Knust Neymar forlader banen på båre,"Neymar blev båret fra banen med en skade, da Brasilien tabte 0-2 på udebane til Uruguay i VM-kvalifikationen"
Fodbold,Højlund fik nok og ville bare væk,Rasmus Højlund ville ikke sige tak for kampen til de sanmarinesiske spillere. 
Fodbold,Sonne glipper landsholdsdebut for Peru,Oliver Sonne fra Silkeborg får ikke sin debut for Perus fodboldlandshold ved denne landsholdssamling
Fodbold,San Marino-træner er vred på Danmark,"Ifølge Fabrizio Costantini, San Marinos træner, burde Danmark have sparket bolden ud af banen inden 2-1-målet"
Fodbold,Landsholdet dumper med et brag i Bruuns karakterbog,Morten Bruun uddeler karakterer til de danske spillere efter 2-1-sejren over San Marino tirsdag aften
Fodbold,"Kjær mener, at San Marino-spillerne bevidst gik efter Højlund",Simon Kjær var meget utilfreds med kampens dommer. 
Fodbold,"Ekspert revser Danmark: - Det så helt, helt galt ud",Verdens ringeste landshold voldte Danmark store problemer i EM-kvalifikationen
Fodbold,Utilfreds Hjulmand: - Det er ganske enkelt for dårligt,"De tre point betyder, at Danmark fortsat har sagen i egen hånd i forhold til at kvalificere sig til EM næste sommer"
Fodbold,Danmark vinder – men skuffer stort i kaotisk kamp,Danmark var i store problemer undervejs i opgøret. 
Fodbold,"Her er de fem bedste spillere, Simon Kjær har stået over for","I anledningen af sin landskampsrekord for Danmark har Simon Kjær udpeget de fem bedste spillere, han har spillet imod"
Fodbold,Nu har Kjær slået 22 år gammel rekord,Den danske landsholdsanfører har overhalet Peter Schmeichel
Fodbold,Sen scoring annullerer dansk EM-hjælp ,Resultatet gik ikke Danmarks vej
Fodbold,Hjulmand har debutant med fra start,Kasper Hjulmand foretager fire ændringer i forhold til kampen mod Kasakhstan. 
Fodbold,Her er eksperternes bud på Danmarks startopstilling ,Eksperterne er uenige i alle tre kæder
Fodbold,Juventus-spiller får syv måneders karantæne for betting,Nicolo Fagioli skal afsone syv måneders karantæne for at have overtrådt bettingregler
Fodbold,Sådan bliver Danmark EM-klar i aften,"Denne artikel er opdateret efter Danmarks sejr over Kasakhstan lørdag aften, og nu skal blot to resultater flaske sig på tirsdag"
Fodbold,Så vild er forskellen på Danmark og San Marino,San Marino har vundet én fodboldkamp i nationens historie. 
Fodbold,Markering planlagt i alle dagens landskampe,Danmark møder San Marino tirsdag aften
Fodbold,"Hjulmand har fokus på detalje, der kan blive afgørende ",Kasper Hjulmand ser muligheder i den sidste fase af kampen mod San Marino
Fodbold,Belgien vil ikke genoptage afbrudt kamp,"Det belgiske forbund vil presse på for, at mandagens EM-kvalifikationskamp mod Sverige ikke genoptages"
Fodbold,Politiet skærper sikkerheden til Danmarks kamp,Mandagens to skuddrab i Bruxelles har fået San Marino til at skærpe sikkerheden til landskampen mod Danmark
Fodbold,Højlund øjner prestigefyldt mulighed,Rasmus Højlund åbnede kvalifikationen med fem mål i to kampe. 
Fodbold,"- Der er kun ét muligt scenarie for Danmark, mener ekspert ",San Marino er rangeret som verdens dårligste landshold
Fodbold,Hjulmand vil ikke have øjne på skæbnekamp,Tirsdag kan Danmark med en vis sandsynlighed sikre sig EM-billetter
Fodbold,FCK melder talent ude resten af året,Det store midtbanetalent har spillet sin sidste FCK-kamp i dette kalenderår
Fodbold,Hjulmand sender klar besked til spillerne ,1900 danske fans vil være på plads i San Marino tirsdag aften. 
Fodbold,United-spiller tog initiativ til at afbryde svensk landskamp ,Victor Lindelöf trådte i karakter
Fodbold,Svensk legende dybt påvirket under kommentering af landskamp,Johan Elmander kommenterede første halvleg af Belgien-Sverige
Fodbold,Svenske fans måtte først forlade stadion sent ud på natten,Hundredvis af svenske fodboldtilhængere blev eskorteret hjem af politieskorte natten til tirsdag. De sidste var hjemme klokken 4
Fodbold,Svensk landstræner fik besked i pausen: - Jeg er frygteligt ked af det,For de svenske spillere var der ingen tvivl om at stoppe kampen
Fodbold,DBU reagerer på skuddrab i Belgien ,"Forholdene er uændret for danskere i udlandet efter skuddrab, siger Jakob Høyer før udekamp i San Marino"
Fodbold,Portugal moser Bosnien – Holland tæt på EM,Den portugisiske superstjerne bidrog med to scoringer i den portugisiske magtdemonstration
Fodbold,EM-kvalifikationskamp stoppet efter skudepisode ,"Ifølge NTB var det et ønske fra flere svenske spillere, at kampen ikke skulle genoptages"
Fodbold,Østrig booker EM-billet – og slukker Sveriges drømme ,I alt er otte mandskaber nu klar til EM
