Category,Headline,SubHeading,Link
Hestesport,"Helgstrands udelukkelse har ukendt bagkant, men måske kan han komme på landsholdet i 2024","Jakob Blicher Ravnsbo, formand for Dansk Ride Forbund, understreger, at udelukkede Andreas Helgstrand, skal vise tydelige forbedringer efter omdiskuteret TV 2-dokumentar. ",https://www.dr.dk/sporten/ridning/helgstrands-udelukkelse-har-ukendt-bagkant-men-maaske-kan-han-komme-paa-landsholdet
Kort sport,Antonsen er færdig i Kina efter udmarvende slagudveksling,Badmintonstjernen Anders Antonsen er færdig i China Masters.,https://www.dr.dk/sporten/seneste-sport/antonsen-er-faerdig-i-kina-efter-udmarvende-slagudveksling
Hestesport,Dansk Ride Forbund udelukker dressurstjerne fra landsholdet efter TV 2-dokumentar,"Forbundets bestyrelse tager på det kraftigste afstand fra den uacceptable ridning, udsendelserne tydeligt viser, lyder det i en pressemeddelelse.",https://www.dr.dk/sporten/ridning/dansk-rideforbund-udelukker-dressurstjerne-fra-landsholdet-efter-dokumentar
VM håndbold,Danmarks håndboldkvinder vil undgå hvide shorts,"Efter VM vil Danmarks håndboldkvinder sætte sig ned og kigge på en løsning, så de så vidt muligt ikke skal spille i hvide shorts.",https://www.dr.dk/sporten/haandbold/vm/danmarks-haandboldkvinder-vil-undgaa-hvide-shorts
Champions League,Fra helvede til himlen og tilbage på jorden: Se Aalborgs vilde otte minutter fra CL-brag her,Aalborg Håndbold spillede uafgjort 27-27 mod Kiel onsdag aften efter en vild rutsjebanetur. Se den her.,https://www.dr.dk/sporten/haandbold/championsleague/fra-helvede-til-himlen-og-tilbage-paa-jorden-se-aalborgs-vilde
Champions League,Aalborg-træner forklarer raseriudbrud efter Hansens brændte straffekast,"Mikkel Hansen kunne have sikret Aalborg sejren mod Kiel i sidste minut, men han skød over mål.",https://www.dr.dk/sporten/haandbold/championsleague/aalborg-traener-forklarer-raseriudbrud-efter-hansens-braendte
Champions League,Aalborg må nøjes med uafgjort efter vanvittigt comeback i Champions League-brag,Efter vildt comeback spiller Aalborg Håndbold uafgjort 27-27 med Kiel onsdag aften.,https://www.dr.dk/sporten/haandbold/championsleague/aalborg-maa-noejes-med-uafgjort-efter-vanvittigt-comeback-i
Kort sport,Danske curlingkvinder får revanche med storsejr i Aberdeen,"Kun syv ender var nødvendige, da Danmarks curlingkvinder onsdag tævede Tjekkiet 9-2 ved EM i Skotland.",https://www.dr.dk/sporten/seneste-sport/danske-curlingkvinder-faar-revanche-med-storsejr-i-aberdeen
Champions League,MINUT FOR MINUT Aalborg leverede vildt comeback mod Kiel,"Der er lagt op til et brag af et Champions League-opgør, når Aalborg Håndbold møder tyske THW Kiel. Følg med her.",https://www.dr.dk/sporten/haandbold/championsleague/live-aalborg-haandbold-moeder-kiel-i-champions-league-topkamp
OL Paris 2024,"DIF bifalder FN's olympiske våbenhvile, men Rusland kalder det en 'farlig tendens'","Tirsdag vedtog FN's Generalforsamling en resolution om olympisk våbenhvile forud for legene i Paris i 2024, men Rusland stemte ikke for. DIF bifalder derimod resolutionen.",https://www.dr.dk/sporten/ol/dif-bifalder-fns-olympiske-vaabenhvile-men-rusland-kalder-det-en-farlig-tendens
Kort sport,DBU dropper forslag om herreklubbers smutvej ind i kvindefodbold,Der kommer ikke til at være nogen hurtig vej ind i toppen af dansk kvindefodbold for klubberne i herrernes bedste danske ligaer.,https://www.dr.dk/sporten/seneste-sport/dbu-dropper-forslag-om-herreklubbers-smutvej-ind-i-kvindefodbold
Cykling,Dansk cykelstjerne bliver amatørrytter i jagten på OL-rekord,OL-guldvinderen Lasse Norman Leth skifter til det danske amatørhold CO:Play-Giant for at stå så skarpt som muligt til Paris næste år.,https://www.dr.dk/sporten/cykling/dansk-cykelstjerne-bliver-amatoerrytter-i-jagten-paa-ol-rekord
Kort sport,Counter-Strike-stjerne forlader Astralis efter syv år,"Lukas ""gla1ve"" Rossander var en del af Astralis, da holdet slog igennem på den helt store scene. Men nu er han fortid i den danske organisation.",https://www.dr.dk/sporten/seneste-sport/counter-strike-stjerne-forlader-astralis-efter-syv-aar
Kort sport,Hummel bliver på fodboldlandsholdenes trøjer og ensretter bonusordning,De danske herre- og kvindelandshold i fodbold vil fortsat iklæde sig Hummel-dragter de kommende år.,https://www.dr.dk/sporten/seneste-sport/hummel-bliver-paa-fodboldlandsholdenes-troejer-og-ensretter-bonusordning
Kvindelandsholdet,Her er Danmarks trup til afgørende Nations League-kampe,Tirsdag udpegede kvindelandsholdets cheftræner Andrée Jeglertz sin trup til de kommende kampe mod Tyskland og Island. ,https://www.dr.dk/sporten/fodbold/kvindelandsholdet/her-er-danmarks-trup-til-afgoerende-nations-league-kampe
