Category,Headline,SubHeading,Link
Kort sport,Rønnow og Union Berlin henter første Champions League-point,Den danske landsholdskeeper Frederik Rønnow fik med sin tyske klub Union Berlin rettet en smule op på en skidt periode.,https://www.dr.dk/sporten/seneste-sport/roennow-og-union-berlin-henter-foerste-champions-league-point
Kort sport,Odense Håndbold sætter brat stopper for stærk vestjysk stime,"Ringkøbing er sjældent spået store chancer mod Odenses håndboldstjerner, men fem kampe i træk uden nederlag gav vestjyderne selvtillid før onsdagens møde med topholdet.",https://www.dr.dk/sporten/seneste-sport/odense-haandbold-saetter-brat-stopper-staerk-vestjysk-stime
Kort sport,Lutter nederlag stopper Bakken Bears' færd i Europa,Kun en sejr talte onsdag aften for Bakken Bears i bestræbelserne på at nå videre fra gruppespillet i FIBA Europa Cup i basketball.,https://www.dr.dk/sporten/seneste-sport/lutter-nederlag-stopper-bakken-bears-faerd-i-europa
Kort sport,Godt nyt for klatrerne: Næste års VM i landevejscykling bliver en lækkerbisken,"De kommende måneder vil stå på massevis af træning i kuperet terræn, hvis man er en cykelrytter, der drømmer om en VM-titel på landevej i Schweiz næste år.",https://www.dr.dk/sporten/seneste-sport/godt-nyt-klatrerne-naeste-aars-vm-i-landevejscykling-bliver-en-laekkerbisken
Kort sport,Ekstraordinær træningslejr skal få OB på sejrssporet igen,OB rejser på en mini-træningslejr i Alicante i Spanien efter kampen hjemme mod Hvidovre på søndag.,https://www.dr.dk/sporten/seneste-sport/ekstraordinaer-traeningslejr-skal-faa-ob-paa-sejrssporet-igen
Champions League,Højlund-tvillingerne drømmer om at spille på landsholdet med bror,"Onsdag aften kan Højlund-brødrene endnu en gang stå overfor hinanden, når FC København møder Manchester United.",https://www.dr.dk/sporten/fodbold/championsleague/hoejlund-tvillingerne-droemmer-om-spille-paa-landsholdet-med-bror
Kort sport,LIV Golf annoncerer transfervindue for næste sæson,"Den omdiskuterede golftour, LIV Golf, fortsætter med at gå nye veje inden for golfsporten. Nu kommer der med forbillede fra andre sportsgrene transfervinduer på golftouren.",https://www.dr.dk/sporten/seneste-sport/liv-golf-annoncerer-transfervindue-naeste-saeson
Badminton,'Det var for vildt': Dansk herredouble leverer hæsblæsende duel,Mads Vestergaard og Karan Rajarajan har begge set duellen et par gange siden onsdagens sejr over Værløse.,https://www.dr.dk/sporten/badminton/det-var-vildt-dansk-herredouble-leverer-haesblaesende-duel
Superliga,Viborg sælger sin cheftræner: 'Det var ikke min plan',"Jacob Friis skal fremover være assistenttræner i Augsburg, hvor han får danske Jess Thorup som chef. ",https://www.dr.dk/sporten/fodbold/superliga/viborg-ff-saelger-cheftraener-jacob-friis-til-tysk-fodboldklub
Cykling,"Podiedrama under Vueltaen frustrerede Jonas Vingegaard, fortæller holdkammerat","Den danske cykelstjerne var ikke tilfreds med kaptajnsituationen under sensommerens Vuelta a Espana, siger Jumbo-Vismas Dylan van Baarle. ",https://www.dr.dk/sporten/cykling/podiedrama-under-vueltaen-frustrerede-jonas-vingegaard-fortaeller-holdkammerat
Lyt på DR LYD,Eriksen trækker på smilebåndet af FCK-træners påstand om Parken,FC København møder onsdag Manchester United på hjemmebane i Parken i jagten på vigtige Champions League-point.,https://www.dr.dk/sporten/fodbold/championsleague/eriksen-traekker-paa-smilebaandet-af-fck-traeners-vilde-paastand-om
Kort sport,Team Esbjerg tæsker Ikast efter opvisning,"Det var en topkamp blottet for spænding, da førerholdet i kvindernes håndboldliga, Team Esbjerg, kørt over nummer to fra Ikast.",https://www.dr.dk/sporten/seneste-sport/team-esbjerg-taesker-ikast-efter-opvisning
