Category,Headline,SubHeading,Link
Fodbold,"AaB-formand frygter tomme tribuner, hvis stadion med 30.000 pladser bliver til virkelighed","Bestyrelsesformanden i AaB ved dog ikke, hvor stort klubben selv vil have et fremtidigt stadion.",https://www.dr.dk/sporten/fodbold/aab-formand-frygter-tomme-tribuner-hvis-stadion-med-30000-pladser-bliver-til
Kort sport,Ishockeyunionens direktør siger op efter få måneder på posten,Danmarks Ishockey Union skal have ny direktør. Igen.,https://www.dr.dk/sporten/seneste-sport/ishockeyunionens-direktoer-siger-op-efter-faa-maaneder-paa-posten
Sejlsport,"Dansk windsurfer appellerer diskvalifikation, der fratog ham VM-titel: 'Den værste følelse i mit liv'",Den 20-årige windsurfer Johan Søe fik frataget sin VM-titel. Den beslutning har han valgt at appellere.,https://www.dr.dk/sporten/sejlsport/dansk-windsurfer-appellerer-diskvalifikation-der-fratog-ham-vm-titel-den-vaerste
Kort sport,Danske badmintonspillere kommer godt fra start i Kina,"De danske badmintonspillere, der var i aktion tirsdag i Super 750-turneringen China Masters, gjorde rent bord og avancerede fra første runde.",https://www.dr.dk/sporten/seneste-sport/danske-badmintonspillere-kommer-godt-fra-start-i-kina
Herreligaen,De danske mestre 'kan ikke engang tillade snak om at være et tophold',"Håndboldklubben GOG er inde i en skidt stime, hvor det blot er blevet til fire sejre ud af de seneste ti kampe. ",https://www.dr.dk/sporten/haandbold/herreligaen/de-danske-mestre-kan-ikke-engang-tillade-snak-om-vaere-et-tophold
Herrelandsholdet,"Bestået, meeen...: Her er de danske spilleres karakterblad for EM-kvalifikationen",Andreas Krauls karaktergennemsnit for EM-kvalifikationen er klar. ,https://www.dr.dk/sporten/fodbold/landsholdet/bestaaet-meeen-her-er-de-danske-spilleres-karakterblad-em
Herrelandsholdet,Hjulmand dropper eksperimenterne efter 'bøvlet og rodet' landsholdsår,"Kasper Hjulmand er tilfreds med EM-kvalifikationen, men ikke tilfreds med sit holds præstationer i hele 2023.",https://www.dr.dk/sporten/fodbold/landsholdet/hjulmand-dropper-eksperimenterne-efter-boevlet-og-rodet-landsholdsaar
Kort nyt,Dartlegenden 'The Power' melder sit karrierestop,"Præcisering: I teksten er det uddybet, at Phil Taylor allerede i 2018 annoncerede sit karrierestop, men at han siden har deltaget i dartkonkurrencer for seniorer.",https://www.dr.dk/nyheder/seneste/dartlegenden-power-melder-sit-karrierestop
Herrelandsholdet,"'Der er noget stolthed og ære, der lider et knæk'","Danmark fik en skidt afslutning på EM-kvalifikationen, da det mandag blev til et 0-2-nederlag i Nordirland.",https://www.dr.dk/sporten/fodbold/landsholdet/der-er-noget-stolthed-og-aere-der-lider-et-knaek
Herrelandsholdet,KARAKTERER Danskerne dumper på stribe efter blamagen i Belfast,DR Sportens Andreas Kraul uddeler karakterer efter nederlaget på 0-2 til Nordirland.,https://www.dr.dk/sporten/fodbold/landsholdet/karakterer-danskerne-dumper-paa-stribe-efter-blamagen-i-belfast
Kort sport,Italien booker EM-billet med uafgjort mod Ukraine,"EM-feltet blev mandag udvidet med Italien, Slovenien og Tjekkiet, og kun fire deltagere mangler nu.",https://www.dr.dk/sporten/seneste-sport/italien-booker-em-billet-med-uafgjort-mod-ukraine
Herrelandsholdet,MINUT FOR MINUT Danmark skuffede fælt i sidste EM-kvalifikationskamp,Danmarks herrelandshold i fodbold tabte den sidste EM-kvalifikationskamp med 2-0 i Nordirland.,https://www.dr.dk/sporten/fodbold/landsholdet/live-danmark-moeder-nordirland-i-sidste-em-kvalifikationskamp
Tour de France,"Vingegaards titelforsvar bliver 'vanvittigt fedt for tilskuerne', men sværere for ham selv",Næste års Tour de France bliver ifølge Jonas Vingegaard en kamp mellem verdens bedste klassementsryttere.,https://www.dr.dk/sporten/cykling/tourdefrance/vingegaards-titelforsvar-bliver-vanvittigt-fedt-tilskuerne-men-svaerere
Kvindelandsholdet,Danmarks VM-stjerner er både inspireret og presset af fortidens giganter,Den 29. november kastes VM i håndbold i gang. Og de danske forventninger er enorme blandt andet på grund af fortidens meritter.,https://www.dr.dk/sporten/haandbold/kvindelandsholdet/danmarks-vm-stjerner-er-baade-inspireret-og-presset-af-fortidens
Kort sport,DBU-formand øjner mulighed for landskampe i Aalborg,"Mandag blev en ny, sammenhængende sports- og kulturvision præsenteret i Aalborg.",https://www.dr.dk/sporten/seneste-sport/dbu-formand-oejner-mulighed-landskampe-i-aalborg
Indland,Aalborg skal huse nye arenaer og et fodboldstadion med plads til 30.000 tilskuere ,Planen er at skabe en sammenhængende vision for fremtidens sports- og kulturliv i Aalborg. ,https://www.dr.dk/nyheder/indland/aalborg-skal-huse-nye-arenaer-og-et-fodboldstadion-med-plads-til-30000-tilskuere
Kort sport,Højgaard føler med sin bror efter misset kort til PGA Tour,Nicolai Højgaard løb søndag med cirka 20 millioner kroner og en stor titel til samlingen ved at vinde DP World Tours sæsonfinale i Dubai. Alligevel var der en anelse malurt i bægeret i familien.,https://www.dr.dk/sporten/seneste-sport/hoejgaard-foeler-med-sin-bror-efter-misset-kort-til-pga-tour
