Category,Headline,SubHeading
VM fodbold,Dansk bedrift skaber begejstring – nu spilles der for noget større,De danske VM-spillere er selvsagt tilfredse med avancementet. Nu spiller de for noget større. 
VM fodbold,Flov VM-profil: - Vi er dårlige rollemodeller,"1-6-nederlag til England har ramt Wang Shuang på stoltheden. Hun håber, Kinas næste generation bliver bedre"
VM fodbold,Ny sensation – miniput sender Brasilien ud ,Jamaica er videre til ottendedelsfinalen ved fodboldkvindernes VM-slutrunde i Australien og New Zealand
VM fodbold,Sydafrika skriver VM-historie – sender Italien ud,"Sverige gik som ventet videre fra gruppe G og fik følgeskab af Sydafrika, som vandt 3-2 over Italien"
VM fodbold,Vildt scenarie i spil: Sådan går Danmark videre ved VM,"Danmark kan både ende som nummer et, to eller uden for pladserne til videre avancement ved VM"
VM fodbold,VM-vært tæver Canada og går videre,Australien levede op til et stort pres og vandt 4-0 over Canada. Australien er nu i VM-ottendedelsfinalen
VM fodbold,Norsk profil skyder tilbage: - Alt det pis stemmer ikke,"De norske landsholdsspillere mener, at pressen har skrevet usande historier om stemningen på landsholdet"
VM fodbold,Spanien ydmyget i gruppefinale,"Japan havde sjældent bolden mod Spanien, men vandt gruppefinalen med 4-0"
VM fodbold,Lange flyveture driller Danmark,VM-holdet har brugt to dage på flytransport i Australien og rejst små 8000 kilometer på det store kontinent
VM fodbold,VM-værter ryger ud – Norge er videre,"Den ene af de to værter for kvindernes VM, New Zealand, er ude efter gruppespil. Norge og Schweiz er videre"
VM fodbold,Gennemfører VM-kamp i hijab og skriver historie,Nouhaila Benzina gennemførte søndag som den første en VM-kamp iført hijab
VM fodbold,Sverige videre ved VM efter storsejr,"På seks minutter indkasserede Italiens landshold tre scoringer i opgøret mod Sverige, der vandt 5-0"
VM fodbold,Landstræner blåstempler Danmarks indsats ,"Danmark slap hæderligt fra opgøret mod England, selvom det ikke blev til point. "
VM fodbold,Danmark tæt på VM-overraskelse,Landsholdet har tre point efter to kampe ved VM
VM fodbold,Colombiansk angriber kollapser under træning,"Linda Caicedo kollapsede under træning, men har det efter sigende fint"
VM fodbold,England vil gøre EM-triumf til VM-triumf,"De engelske europamestre er trods skader til profiler stadig et hold, som regner med, at de kan vinde VM"
VM fodbold,Danmark skal møde overmagten: - Det bliver svært,Der venter Danmark svær modstand i form af europamestrene fra England
VM fodbold,Norsk stjerne undskylder efter udbrud ved VM,"Caroline Graham Hansen har undskyldt efter at have givet kritisk interview, da hun var i sine følelsers vold"
VM fodbold,Norsk stjerne i opsigtsvækkende interview efter bænkplads,Norge har skuffet i de første to kampe under VM
