Category,Headline,SubHeading,Link
Kort sport,Fransk Counter-Strike-hold triumferer i Royal Arena,"Verdens bedste Counter-Strike-hold, FaZe, gik ind til Blast Premier Fall Final-finalen med en vild sejrsstime på 20 kampe i streg i det nye spil Counter-Strike 2.",https://www.dr.dk/sporten/seneste-sport/fransk-counter-strike-hold-triumferer-i-royal-arena
Kort sport,OB formindsker krisen med sejr over Randers,"OB smagte sejrens sødme for første gang i halvanden måned, da de slog Randers FC med 1-0 på udebane i 3F Superligaen.",https://www.dr.dk/sporten/seneste-sport/ob-formindsker-krisen-med-sejr-over-randers
Kort sport,GOG redder point efter scoring i sidste sekund,"Mesterholdet fra GOG flirtede med nederlag indtil det sidste, men det lykkedes at hente 35-35 på udebane mod den positive overraskelse Mors-Thy Håndbold i herrernes håndboldliga.",https://www.dr.dk/sporten/seneste-sport/gog-redder-point-efter-scoring-i-sidste-sekund
Kvindelandsholdet,Danmark knuser Brasilien i andendagsgilde,Det danske kvindelandshold vinder 33-16 over Brasilien i den sidste testkamp forud for VM i håndbold.,https://www.dr.dk/sporten/haandbold/kvindelandsholdet/danmark-knuser-brasilien-i-andendagsgilde
Kort sport,Dansk trio brillerer for tysk tophold,"Füchse Berlin er tilbage på førstepladsen i den tyske Bundesliga i håndbold, og det skyldes ikke mindst, at holdets danske trio kastede bolden i kassen nærmest efter behag.",https://www.dr.dk/sporten/seneste-sport/dansk-trio-brillerer-tysk-tophold
Kort sport,Danmark runder EM i ju-jitsu af med en ny medalje,Den danske medaljehøst fortsatte helt indtil det sidste ved EM i ju-jitsu.,https://www.dr.dk/sporten/seneste-sport/danmark-runder-em-i-ju-jitsu-af-med-en-ny-medalje
Kort sport,FC Nordsjælland og AGF deler point i nulløsning,"Det blev en målløs affære, da FC Nordsjælland tog imod AGF og spillede 0-0 i dagens tidlige kamp i 3F Superligaen.",https://www.dr.dk/sporten/seneste-sport/fc-nordsjaelland-og-agf-deler-pointene-i-nulloesning
Formel 1,Magnussen slutter sidst i endnu en Verstappen-opvisning,Kevin Magnussen sluttede sæsonens sidste Formel 1-grandprix på sidstepladsen og ender som nummer 19 i den samlede VM-stilling.,https://www.dr.dk/sporten/formel1/magnussen-slutter-sidst-i-endnu-en-verstappen-opvisning
Kort sport,Tidligere engelsk landstræner er død,Den tidligere engelske fodboldlandstræner Terry Venables er død i en alder af 80 år efter en sygdomsperiode.,https://www.dr.dk/sporten/seneste-sport/tidligere-engelsk-landstraener-er-doed
Motorsport,"Frederik Vesti kører på podiet, men misser den samlede Formel 2-titel",Den danske racerkører Frederik Vesti bliver nummer tre i sæsonens sidste løb og slutter nummer to i den samlede Formel 2-stilling.,https://www.dr.dk/sporten/motorsport/frederik-vesti-koerer-paa-podiet-men-misser-den-samlede-formel-2-titel
Kort nyt,To 17-årige fodboldfans anholdt efter sexistiske tilråb mod kvindelig dommer,Lørdagens opgør mellem Birmingham og Sheffield Wednesday var Rebecca Welchs anden kamp som dommer i den næstøverste fodboldliga i England.,https://www.dr.dk/nyheder/seneste/17-aarige-fodboldfans-anholdt-efter-sexistiske-tilraab-mod-kvindelig-dommer
Kort sport,Antonsen klar til sæsonfinalen efter japansk hjælp,"Når årets bedste badmintonspillere i december samles til sæsonfinalen, BWF World Tour Finals, bliver det med to danske deltagere i herresingle.",https://www.dr.dk/sporten/seneste-sport/antonsen-klar-til-saesonfinalen-efter-japansk-hjaelp
Sport,"Jacob var både 'ræd og nervøs', men lukkede EM i Ju-jitsu med bronze","Jacob Lund fra Ribe Ju-Jitsu overraskede lørdag sig selv med en EM-medalje i Zagreb.
",https://www.dr.dk/sporten/oevrig/jacob-var-baade-raed-og-nervoes-men-lukkede-em-i-ju-jitsu-med-bronze
Kort sport,AC Milan gav debut til yngste spiller i Serie A,"I en alder af bare 15 år, otte måneder og 16 dage blev angriberen Francesco Camarda lørdag den yngste spiller til at få debut i den bedste italienske fodboldrække, Serie A.",https://www.dr.dk/sporten/seneste-sport/ac-milan-gav-debut-til-yngste-spiller-i-serie
Superliga,'Det her er dramatik!': Nakkedrag fra Grabara satte temperamenterne i kog,"FC Københavns målmand, Kamil Grabara, var igen i vælten lørdag aften.",https://www.dr.dk/sporten/fodbold/superliga/det-her-er-dramatik-nakkedrag-fra-grabara-satte-temperamenterne-i-kog
Superliga,"Wauw, Viborg! Jattas fart og en inderside fra himlen sænker FC København ",Viborg vinder 2-1 på hjemmebane over FC København efter et comeback i anden halvleg.,https://www.dr.dk/sporten/fodbold/superliga/viborg-saenker-fc-koebenhavn-i-sidste-sekund
